 TWA\TWS	        0	        1	        2	        3	        4	        5	        6	        7	        8	        9	       10	       11	       12	       13	       14	       15	       16	       17	       18	       19	       20	       21	       22	       23	       24	       25	       26	       27	       28	       29	       30	       31	       32	       33	       34	       35	       36	       37	       38	       39	
12      	 0.000000	 0.825358	 1.509382	 1.949202	 2.195795	 2.317193	 2.295794	 2.129918	 1.967208	 1.966074	 2.178664	 2.586092	 2.991606	 3.204320	 3.234682	 3.143477	 2.991489	 2.991489	 2.991489	 2.991489	 2.991489	 2.991489	 2.991489	 2.991489	 2.991489	 2.991489	 2.991489	 2.991489	 2.991489	 2.991489	 2.991489	 2.991489	 2.991489	 2.991489	 2.991489	 2.991489	 2.991489	 2.991489	 2.991489	 2.991489	
13      	 0.000000	 0.892011	 1.631773	 2.108382	 2.376324	 2.508670	 2.487426	 2.311588	 2.139180	 2.139629	 2.368971	 2.807125	 3.242934	 3.471514	 3.504141	 3.406134	 3.242808	 3.242808	 3.242808	 3.242808	 3.242808	 3.242808	 3.242808	 3.242808	 3.242808	 3.242808	 3.242808	 3.242808	 3.242808	 3.242808	 3.242808	 3.242808	 3.242808	 3.242808	 3.242808	 3.242808	 3.242808	 3.242808	 3.242808	 3.242808	
14      	 0.000000	 0.958155	 1.753350	 2.266781	 2.556266	 2.699758	 2.679132	 2.494261	 2.313080	 2.315515	 2.561378	 3.029484	 3.494749	 3.738749	 3.773577	 3.668958	 3.494615	 3.494615	 3.494615	 3.494615	 3.494615	 3.494615	 3.494615	 3.494615	 3.494615	 3.494615	 3.494615	 3.494615	 3.494615	 3.494615	 3.494615	 3.494615	 3.494615	 3.494615	 3.494615	 3.494615	 3.494615	 3.494615	 3.494615	 3.494615	
15      	 0.000000	 1.023749	 1.874050	 2.424339	 2.735573	 2.890426	 2.870921	 2.678013	 2.489058	 2.493912	 2.756048	 3.253271	 3.747088	 4.006027	 4.042988	 3.931964	 3.746946	 3.746946	 3.746946	 3.746946	 3.746946	 3.746946	 3.746946	 3.746946	 3.746946	 3.746946	 3.746946	 3.746946	 3.746946	 3.746946	 3.746946	 3.746946	 3.746946	 3.746946	 3.746946	 3.746946	 3.746946	 3.746946	 3.746946	 3.746946	
16      	 0.000000	 1.088754	 1.993812	 2.580997	 2.914200	 3.080645	 3.062796	 2.862923	 2.667262	 2.674999	 2.953141	 3.478588	 3.999989	 4.273352	 4.312372	 4.195163	 3.999839	 3.999839	 3.999839	 3.999839	 3.999839	 3.999839	 3.999839	 3.999839	 3.999839	 3.999839	 3.999839	 3.999839	 3.999839	 3.999839	 3.999839	 3.999839	 3.999839	 3.999839	 3.999839	 3.999839	 3.999839	 3.999839	 3.999839	 3.999839	
17      	 0.000000	 1.153131	 2.112572	 2.736693	 3.092103	 3.270385	 3.254765	 3.049066	 2.847840	 2.858956	 3.152820	 3.705537	 4.253488	 4.540727	 4.581728	 4.458569	 4.253332	 4.253332	 4.253332	 4.253332	 4.253332	 4.253332	 4.253332	 4.253332	 4.253332	 4.253332	 4.253332	 4.253332	 4.253332	 4.253332	 4.253332	 4.253332	 4.253332	 4.253332	 4.253332	 4.253332	 4.253332	 4.253332	 4.253332	 4.253332	
18      	 0.000000	 1.216841	 2.230268	 2.891368	 3.269237	 3.459615	 3.446832	 3.236520	 3.030940	 3.045963	 3.355245	 3.934220	 4.507624	 4.808154	 4.851052	 4.722195	 4.507461	 4.507461	 4.507461	 4.507461	 4.507461	 4.507461	 4.507461	 4.507461	 4.507461	 4.507461	 4.507461	 4.507461	 4.507461	 4.507461	 4.507461	 4.507461	 4.507461	 4.507461	 4.507461	 4.507461	 4.507461	 4.507461	 4.507461	 4.507461	
19      	 0.000000	 1.279844	 2.346837	 3.044962	 3.445555	 3.648307	 3.639004	 3.425362	 3.216712	 3.236197	 3.560579	 4.164740	 4.762434	 5.075637	 5.120344	 4.986054	 4.762265	 4.762265	 4.762265	 4.762265	 4.762265	 4.762265	 4.762265	 4.762265	 4.762265	 4.762265	 4.762265	 4.762265	 4.762265	 4.762265	 4.762265	 4.762265	 4.762265	 4.762265	 4.762265	 4.762265	 4.762265	 4.762265	 4.762265	 4.762265	
20      	 0.000000	 1.342102	 2.462216	 3.197415	 3.621012	 3.836429	 3.831287	 3.615669	 3.405302	 3.429839	 3.768982	 4.397197	 5.017955	 5.343179	 5.389602	 5.250158	 5.017780	 5.017780	 5.017780	 5.017780	 5.017780	 5.017780	 5.017780	 5.017780	 5.017780	 5.017780	 5.017780	 5.017780	 5.017780	 5.017780	 5.017780	 5.017780	 5.017780	 5.017780	 5.017780	 5.017780	 5.017780	 5.017780	 5.017780	 5.017780	
21      	 0.000000	 1.403574	 2.576343	 3.348667	 3.795564	 4.023952	 4.023686	 3.807518	 3.596861	 3.627069	 3.980617	 4.631695	 5.274224	 5.610783	 5.658825	 5.514521	 5.274045	 5.274045	 5.274045	 5.274045	 5.274045	 5.274045	 5.274045	 5.274045	 5.274045	 5.274045	 5.274045	 5.274045	 5.274045	 5.274045	 5.274045	 5.274045	 5.274045	 5.274045	 5.274045	 5.274045	 5.274045	 5.274045	 5.274045	 5.274045	
