 TWA\TWS	        0	        1	        2	        3	        4	        5	        6	        7	        8	        9	       10	       11	       12	       13	       14	       15	       16	       17	       18	       19	       20	       21	       22	       23	       24	       25	       26	       27	       28	       29	       30	       31	       32	       33	       34	       35	       36	       37	       38	       39	
55      	 0.000000	 2.750711	 5.268055	 7.341745	 8.853824	 9.814553	 10.654743	 11.753595	 12.863325	 13.664167	 14.175410	 14.491529	 14.668683	 14.749540	 14.761109	 14.726487	 14.668769	 14.668769	 14.668769	 14.668769	 14.668769	 14.668769	 14.668769	 14.668769	 14.668769	 14.668769	 14.668769	 14.668769	 14.668769	 14.668769	 14.668769	 14.668769	 14.668769	 14.668769	 14.668769	 14.668769	 14.668769	 14.668769	 14.668769	 14.668769	
56      	 0.000000	 2.763196	 5.301344	 7.408832	 8.957785	 9.951396	 10.839409	 12.015182	 13.199980	 14.039065	 14.545763	 14.821474	 14.951829	 15.007557	 15.015537	 14.991686	 14.951918	 14.951918	 14.951918	 14.951918	 14.951918	 14.951918	 14.951918	 14.951918	 14.951918	 14.951918	 14.951918	 14.951918	 14.951918	 14.951918	 14.951918	 14.951918	 14.951918	 14.951918	 14.951918	 14.951918	 14.951918	 14.951918	 14.951918	 14.951918	
57      	 0.000000	 2.774754	 5.332086	 7.470862	 9.055111	 10.082272	 11.018282	 12.268101	 13.524272	 14.399926	 14.902941	 15.141220	 15.228007	 15.260324	 15.264959	 15.251138	 15.228090	 15.228090	 15.228090	 15.228090	 15.228090	 15.228090	 15.228090	 15.228090	 15.228090	 15.228090	 15.228090	 15.228090	 15.228090	 15.228090	 15.228090	 15.228090	 15.228090	 15.228090	 15.228090	 15.228090	 15.228090	 15.228090	 15.228090	 15.228090	
58      	 0.000000	 2.785560	 5.360378	 7.527493	 9.145074	 10.206435	 11.190348	 12.510265	 13.832904	 14.742914	 15.243401	 15.448217	 15.495743	 15.506940	 15.508554	 15.503780	 15.495811	 15.495811	 15.495811	 15.495811	 15.495811	 15.495811	 15.495811	 15.495811	 15.495811	 15.495811	 15.495811	 15.495811	 15.495811	 15.495811	 15.495811	 15.495811	 15.495811	 15.495811	 15.495811	 15.495811	 15.495811	 15.495811	 15.495811	 15.495811	
59      	 0.000000	 2.795786	 5.386317	 7.578382	 9.226947	 10.323141	 11.354592	 12.739587	 14.122579	 15.064197	 15.563602	 15.739917	 15.753566	 15.746503	 15.745502	 15.748544	 15.753606	 15.753606	 15.753606	 15.753606	 15.753606	 15.753606	 15.753606	 15.753606	 15.753606	 15.753606	 15.753606	 15.753606	 15.753606	 15.753606	 15.753606	 15.753606	 15.753606	 15.753606	 15.753606	 15.753606	 15.753606	 15.753606	 15.753606	 15.753606	
60      	 0.000000	 2.805604	 5.410000	 7.623187	 9.300000	 10.431646	 11.510000	 12.953979	 14.390000	 15.359938	 15.860000	 16.013768	 16.000000	 15.978112	 15.974985	 15.984366	 16.000000	 16.000000	 16.000000	 16.000000	 16.000000	 16.000000	 16.000000	 16.000000	 16.000000	 16.000000	 16.000000	 16.000000	 16.000000	 16.000000	 16.000000	 16.000000	 16.000000	 16.000000	 16.000000	 16.000000	 16.000000	 16.000000	 16.000000	 16.000000	
61      	 0.000000	 2.815144	 5.431520	 7.661724	 9.363801	 10.531495	 11.655903	 13.151992	 14.632855	 15.627459	 16.130138	 16.268023	 16.234060	 16.201186	 16.196478	 16.210547	 16.234005	 16.234005	 16.234005	 16.234005	 16.234005	 16.234005	 16.234005	 16.234005	 16.234005	 16.234005	 16.234005	 16.234005	 16.234005	 16.234005	 16.234005	 16.234005	 16.234005	 16.234005	 16.234005	 16.234005	 16.234005	 16.234005	 16.234005	 16.234005	
62      	 0.000000	 2.824358	 5.450955	 7.694439	 9.419094	 10.623402	 11.793013	 13.334728	 14.852772	 15.868694	 16.375897	 16.504134	 16.456701	 16.416414	 16.410634	 16.427859	 16.456586	 16.456586	 16.456586	 16.456586	 16.456586	 16.456586	 16.456586	 16.456586	 16.456586	 16.456586	 16.456586	 16.456586	 16.456586	 16.456586	 16.456586	 16.456586	 16.456586	 16.456586	 16.456586	 16.456586	 16.456586	 16.456586	 16.456586	 16.456586	
63      	 0.000000	 2.833153	 5.468375	 7.721937	 9.466920	 10.708370	 11.922384	 13.503925	 15.052365	 16.086731	 16.600239	 16.724358	 16.669369	 16.624807	 16.618402	 16.637437	 16.669191	 16.669191	 16.669191	 16.669191	 16.669191	 16.669191	 16.669191	 16.669191	 16.669191	 16.669191	 16.669191	 16.669191	 16.669191	 16.669191	 16.669191	 16.669191	 16.669191	 16.669191	 16.669191	 16.669191	 16.669191	 16.669191	 16.669191	 16.669191	
64      	 0.000000	 2.841438	 5.483853	 7.744822	 9.508319	 10.787406	 12.045073	 13.661323	 15.234248	 16.284660	 16.806131	 16.930948	 16.873505	 16.827372	 16.820732	 16.840420	 16.873273	 16.873273	 16.873273	 16.873273	 16.873273	 16.873273	 16.873273	 16.873273	 16.873273	 16.873273	 16.873273	 16.873273	 16.873273	 16.873273	 16.873273	 16.873273	 16.873273	 16.873273	 16.873273	 16.873273	 16.873273	 16.873273	 16.873273	 16.873273	
65      	 0.000000	 2.849122	 5.497462	 7.763698	 9.544332	 10.861512	 12.162136	 13.808661	 15.401035	 16.465570	 16.996535	 17.126160	 17.070554	 17.025121	 17.018572	 17.037946	 17.070281	 17.070281	 17.070281	 17.070281	 17.070281	 17.070281	 17.070281	 17.070281	 17.070281	 17.070281	 17.070281	 17.070281	 17.070281	 17.070281	 17.070281	 17.070281	 17.070281	 17.070281	 17.070281	 17.070281	 17.070281	 17.070281	 17.070281	 17.070281	
66      	 0.000000	 2.856112	 5.509275	 7.779170	 9.575998	 10.931694	 12.274627	 13.947678	 15.555339	 16.632548	 17.174416	 17.312249	 17.261959	 17.219061	 17.212870	 17.231151	 17.261667	 17.261667	 17.261667	 17.261667	 17.261667	 17.261667	 17.261667	 17.261667	 17.261667	 17.261667	 17.261667	 17.261667	 17.261667	 17.261667	 17.261667	 17.261667	 17.261667	 17.261667	 17.261667	 17.261667	 17.261667	 17.261667	 17.261667	 17.261667	
67      	 0.000000	 2.862316	 5.519362	 7.791843	 9.604357	 10.998956	 12.383604	 14.080114	 15.699774	 16.788684	 17.342739	 17.491468	 17.449162	 17.410203	 17.404577	 17.421173	 17.448881	 17.448881	 17.448881	 17.448881	 17.448881	 17.448881	 17.448881	 17.448881	 17.448881	 17.448881	 17.448881	 17.448881	 17.448881	 17.448881	 17.448881	 17.448881	 17.448881	 17.448881	 17.448881	 17.448881	 17.448881	 17.448881	 17.448881	 17.448881	
68      	 0.000000	 2.867643	 5.527797	 7.802321	 9.630451	 11.064302	 12.490121	 14.207708	 15.836953	 16.937067	 17.504468	 17.666074	 17.633608	 17.599554	 17.594640	 17.609151	 17.633374	 17.633374	 17.633374	 17.633374	 17.633374	 17.633374	 17.633374	 17.633374	 17.633374	 17.633374	 17.633374	 17.633374	 17.633374	 17.633374	 17.633374	 17.633374	 17.633374	 17.633374	 17.633374	 17.633374	 17.633374	 17.633374	 17.633374	 17.633374	
69      	 0.000000	 2.872000	 5.534653	 7.811208	 9.655318	 11.128737	 12.595234	 14.332199	 15.969491	 17.080785	 17.662567	 17.838320	 17.816739	 17.788126	 17.784008	 17.796220	 17.816597	 17.816597	 17.816597	 17.816597	 17.816597	 17.816597	 17.816597	 17.816597	 17.816597	 17.816597	 17.816597	 17.816597	 17.816597	 17.816597	 17.816597	 17.816597	 17.816597	 17.816597	 17.816597	 17.816597	 17.816597	 17.816597	 17.816597	 17.816597	
70      	 0.000000	 2.875297	 5.540000	 7.819109	 9.680000	 11.193266	 12.700000	 14.455327	 16.100000	 17.222928	 17.820000	 18.010462	 18.000000	 17.976926	 17.973630	 17.983519	 18.000000	 18.000000	 18.000000	 18.000000	 18.000000	 18.000000	 18.000000	 18.000000	 18.000000	 18.000000	 18.000000	 18.000000	 18.000000	 18.000000	 18.000000	 18.000000	 18.000000	 18.000000	 18.000000	 18.000000	 18.000000	 18.000000	 18.000000	 18.000000	
71      	 0.000000	 2.877427	 5.543856	 7.826488	 9.705341	 11.258720	 12.805293	 14.578511	 16.230597	 17.365979	 17.979132	 18.184266	 18.184476	 18.166678	 18.164178	 18.171875	 18.184671	 18.184671	 18.184671	 18.184671	 18.184671	 18.184671	 18.184671	 18.184671	 18.184671	 18.184671	 18.184671	 18.184671	 18.184671	 18.184671	 18.184671	 18.184671	 18.184671	 18.184671	 18.184671	 18.184671	 18.184671	 18.184671	 18.184671	 18.184671	
72      	 0.000000	 2.878234	 5.546010	 7.833250	 9.731403	 11.325238	 12.911265	 14.701897	 16.361401	 17.510006	 18.139928	 18.359537	 18.369824	 18.356958	 18.355210	 18.360875	 18.370245	 18.370245	 18.370245	 18.370245	 18.370245	 18.370245	 18.370245	 18.370245	 18.370245	 18.370245	 18.370245	 18.370245	 18.370245	 18.370245	 18.370245	 18.370245	 18.370245	 18.370245	 18.370245	 18.370245	 18.370245	 18.370245	 18.370245	 18.370245	
73      	 0.000000	 2.877546	 5.546195	 7.839156	 9.758055	 11.392786	 13.017886	 14.825311	 16.492036	 17.654473	 18.301753	 18.535595	 18.555344	 18.547055	 18.546011	 18.549795	 18.555994	 18.555994	 18.555994	 18.555994	 18.555994	 18.555994	 18.555994	 18.555994	 18.555994	 18.555994	 18.555994	 18.555994	 18.555994	 18.555994	 18.555994	 18.555994	 18.555994	 18.555994	 18.555994	 18.555994	 18.555994	 18.555994	 18.555994	 18.555994	
74      	 0.000000	 2.875192	 5.544146	 7.843971	 9.785164	 11.461332	 13.125129	 14.948579	 16.622123	 17.798842	 18.463972	 18.711758	 18.740336	 18.736260	 18.735861	 18.737913	 18.741190	 18.741190	 18.741190	 18.741190	 18.741190	 18.741190	 18.741190	 18.741190	 18.741190	 18.741190	 18.741190	 18.741190	 18.741190	 18.741190	 18.741190	 18.741190	 18.741190	 18.741190	 18.741190	 18.741190	 18.741190	 18.741190	 18.741190	 18.741190	
75      	 0.000000	 2.871001	 5.539596	 7.847459	 9.812598	 11.530841	 13.232964	 15.071529	 16.751285	 17.942578	 18.625950	 18.887343	 18.924100	 18.923862	 18.924043	 18.924505	 18.925106	 18.925106	 18.925106	 18.925106	 18.925106	 18.925106	 18.925106	 18.925106	 18.925106	 18.925106	 18.925106	 18.925106	 18.925106	 18.925106	 18.925106	 18.925106	 18.925106	 18.925106	 18.925106	 18.925106	 18.925106	 18.925106	 18.925106	 18.925106	
76      	 0.000000	 2.864803	 5.532278	 7.849383	 9.840224	 11.601279	 13.341361	 15.193985	 16.879144	 18.085144	 18.787052	 19.061668	 19.105936	 19.109150	 19.109840	 19.108847	 19.107013	 19.107013	 19.107013	 19.107013	 19.107013	 19.107013	 19.107013	 19.107013	 19.107013	 19.107013	 19.107013	 19.107013	 19.107013	 19.107013	 19.107013	 19.107013	 19.107013	 19.107013	 19.107013	 19.107013	 19.107013	 19.107013	 19.107013	 19.107013	
77      	 0.000000	 2.856426	 5.521925	 7.849506	 9.867910	 11.672614	 13.450292	 15.315775	 17.005323	 18.226002	 18.946643	 19.234051	 19.285145	 19.291415	 19.292533	 19.290217	 19.286184	 19.286184	 19.286184	 19.286184	 19.286184	 19.286184	 19.286184	 19.286184	 19.286184	 19.286184	 19.286184	 19.286184	 19.286184	 19.286184	 19.286184	 19.286184	 19.286184	 19.286184	 19.286184	 19.286184	 19.286184	 19.286184	 19.286184	 19.286184	
78      	 0.000000	 2.845700	 5.508273	 7.847592	 9.895523	 11.744812	 13.559729	 15.436724	 17.129444	 18.364616	 19.104088	 19.403811	 19.461025	 19.469945	 19.471405	 19.467892	 19.461891	 19.461891	 19.461891	 19.461891	 19.461891	 19.461891	 19.461891	 19.461891	 19.461891	 19.461891	 19.461891	 19.461891	 19.461891	 19.461891	 19.461891	 19.461891	 19.461891	 19.461891	 19.461891	 19.461891	 19.461891	 19.461891	 19.461891	 19.461891	
79      	 0.000000	 2.832453	 5.491053	 7.843404	 9.922930	 11.817838	 13.669641	 15.556659	 17.251129	 18.500449	 19.258752	 19.570265	 19.632876	 19.644032	 19.645739	 19.641147	 19.633406	 19.633406	 19.633406	 19.633406	 19.633406	 19.633406	 19.633406	 19.633406	 19.633406	 19.633406	 19.633406	 19.633406	 19.633406	 19.633406	 19.633406	 19.633406	 19.633406	 19.633406	 19.633406	 19.633406	 19.633406	 19.633406	 19.633406	 19.633406	
80      	 0.000000	 2.816514	 5.470000	 7.836707	 9.950000	 11.891659	 13.780000	 15.675406	 17.370000	 18.632966	 19.410000	 19.732731	 19.800000	 19.812964	 19.814815	 19.809260	 19.800000	 19.800000	 19.800000	 19.800000	 19.800000	 19.800000	 19.800000	 19.800000	 19.800000	 19.800000	 19.800000	 19.800000	 19.800000	 19.800000	 19.800000	 19.800000	 19.800000	 19.800000	 19.800000	 19.800000	 19.800000	 19.800000	 19.800000	 19.800000	
81      	 0.000000	 2.797828	 5.445026	 7.827427	 9.976698	 11.966269	 13.890772	 15.792822	 17.485767	 18.761746	 19.557330	 19.890676	 19.961861	 19.976207	 19.978098	 19.971687	 19.961124	 19.961124	 19.961124	 19.961124	 19.961124	 19.961124	 19.961124	 19.961124	 19.961124	 19.961124	 19.961124	 19.961124	 19.961124	 19.961124	 19.961124	 19.961124	 19.961124	 19.961124	 19.961124	 19.961124	 19.961124	 19.961124	 19.961124	 19.961124	
82      	 0.000000	 2.776792	 5.416764	 7.816148	 10.003380	 12.041768	 14.001906	 15.908884	 17.598486	 18.886843	 19.700769	 20.044167	 20.118590	 20.133932	 20.135770	 20.128605	 20.116939	 20.116939	 20.116939	 20.116939	 20.116939	 20.116939	 20.116939	 20.116939	 20.116939	 20.116939	 20.116939	 20.116939	 20.116939	 20.116939	 20.116939	 20.116939	 20.116939	 20.116939	 20.116939	 20.116939	 20.116939	 20.116939	 20.116939	 20.116939	
83      	 0.000000	 2.753919	 5.386023	 7.803620	 10.030503	 12.118284	 14.113346	 16.023599	 17.708301	 19.008426	 19.840478	 20.193417	 20.270484	 20.286485	 20.288192	 20.280371	 20.267784	 20.267784	 20.267784	 20.267784	 20.267784	 20.267784	 20.267784	 20.267784	 20.267784	 20.267784	 20.267784	 20.267784	 20.267784	 20.267784	 20.267784	 20.267784	 20.267784	 20.267784	 20.267784	 20.267784	 20.267784	 20.267784	 20.267784	 20.267784	
84      	 0.000000	 2.729723	 5.353615	 7.790589	 10.058522	 12.195945	 14.225034	 16.136976	 17.815356	 19.126666	 19.976616	 20.338641	 20.417838	 20.434214	 20.435730	 20.427340	 20.413997	 20.413997	 20.413997	 20.413997	 20.413997	 20.413997	 20.413997	 20.413997	 20.413997	 20.413997	 20.413997	 20.413997	 20.413997	 20.413997	 20.413997	 20.413997	 20.413997	 20.413997	 20.413997	 20.413997	 20.413997	 20.413997	 20.413997	 20.413997	
85      	 0.000000	 2.704715	 5.320350	 7.777804	 10.087891	 12.274878	 14.336915	 16.249021	 17.919794	 19.241733	 20.109345	 20.480055	 20.560950	 20.577464	 20.578744	 20.569870	 20.555918	 20.555918	 20.555918	 20.555918	 20.555918	 20.555918	 20.555918	 20.555918	 20.555918	 20.555918	 20.555918	 20.555918	 20.555918	 20.555918	 20.555918	 20.555918	 20.555918	 20.555918	 20.555918	 20.555918	 20.555918	 20.555918	 20.555918	 20.555918	
86      	 0.000000	 2.679411	 5.287040	 7.766012	 10.119065	 12.355210	 14.448933	 16.359742	 18.021759	 19.353798	 20.238824	 20.617872	 20.700115	 20.716582	 20.717599	 20.708317	 20.693885	 20.693885	 20.693885	 20.693885	 20.693885	 20.693885	 20.693885	 20.693885	 20.693885	 20.693885	 20.693885	 20.693885	 20.693885	 20.693885	 20.693885	 20.693885	 20.693885	 20.693885	 20.693885	 20.693885	 20.693885	 20.693885	 20.693885	 20.693885	
87      	 0.000000	 2.654321	 5.254495	 7.755963	 10.152501	 12.437070	 14.561031	 16.469146	 18.121394	 19.463031	 20.365213	 20.752308	 20.835629	 20.851915	 20.852657	 20.843037	 20.828236	 20.828236	 20.828236	 20.828236	 20.828236	 20.828236	 20.828236	 20.828236	 20.828236	 20.828236	 20.828236	 20.828236	 20.828236	 20.828236	 20.828236	 20.828236	 20.828236	 20.828236	 20.828236	 20.828236	 20.828236	 20.828236	 20.828236	 20.828236	
88      	 0.000000	 2.629959	 5.223527	 7.748404	 10.188652	 12.520585	 14.673152	 16.577242	 18.218844	 19.569602	 20.488672	 20.883577	 20.967790	 20.983810	 20.984281	 20.974388	 20.959312	 20.959312	 20.959312	 20.959312	 20.959312	 20.959312	 20.959312	 20.959312	 20.959312	 20.959312	 20.959312	 20.959312	 20.959312	 20.959312	 20.959312	 20.959312	 20.959312	 20.959312	 20.959312	 20.959312	 20.959312	 20.959312	 20.959312	 20.959312	
89      	 0.000000	 2.606838	 5.194945	 7.744082	 10.227975	 12.605882	 14.785242	 16.684036	 18.314250	 19.673681	 20.609363	 21.011895	 21.096894	 21.112613	 21.112834	 21.102725	 21.087450	 21.087450	 21.087450	 21.087450	 21.087450	 21.087450	 21.087450	 21.087450	 21.087450	 21.087450	 21.087450	 21.087450	 21.087450	 21.087450	 21.087450	 21.087450	 21.087450	 21.087450	 21.087450	 21.087450	 21.087450	 21.087450	 21.087450	 21.087450	
90      	 0.000000	 2.585471	 5.169561	 7.743747	 10.270924	 12.693090	 14.897243	 16.789536	 18.407758	 19.775439	 20.727444	 21.137475	 21.223236	 21.238670	 21.238679	 21.228405	 21.212989	 21.212989	 21.212989	 21.212989	 21.212989	 21.212989	 21.212989	 21.212989	 21.212989	 21.212989	 21.212989	 21.212989	 21.212989	 21.212989	 21.212989	 21.212989	 21.212989	 21.212989	 21.212989	 21.212989	 21.212989	 21.212989	 21.212989	 21.212989	
91      	 0.000000	 2.566370	 5.148186	 7.748146	 10.317954	 12.782336	 15.009099	 16.893750	 18.499511	 19.875045	 20.843076	 21.260533	 21.347114	 21.362329	 21.362179	 21.351785	 21.336269	 21.336269	 21.336269	 21.336269	 21.336269	 21.336269	 21.336269	 21.336269	 21.336269	 21.336269	 21.336269	 21.336269	 21.336269	 21.336269	 21.336269	 21.336269	 21.336269	 21.336269	 21.336269	 21.336269	 21.336269	 21.336269	 21.336269	 21.336269	
92      	 0.000000	 2.550049	 5.131631	 7.758028	 10.369522	 12.873747	 15.120754	 16.996686	 18.589653	 19.972672	 20.956420	 21.381283	 21.468823	 21.483936	 21.483696	 21.473220	 21.457628	 21.457628	 21.457628	 21.457628	 21.457628	 21.457628	 21.457628	 21.457628	 21.457628	 21.457628	 21.457628	 21.457628	 21.457628	 21.457628	 21.457628	 21.457628	 21.457628	 21.457628	 21.457628	 21.457628	 21.457628	 21.457628	 21.457628	 21.457628	
93      	 0.000000	 2.537021	 5.120706	 7.774140	 10.426081	 12.967452	 15.232151	 17.098350	 18.678326	 20.068487	 21.067635	 21.499941	 21.588660	 21.603837	 21.603593	 21.593069	 21.577404	 21.577404	 21.577404	 21.577404	 21.577404	 21.577404	 21.577404	 21.577404	 21.577404	 21.577404	 21.577404	 21.577404	 21.577404	 21.577404	 21.577404	 21.577404	 21.577404	 21.577404	 21.577404	 21.577404	 21.577404	 21.577404	 21.577404	 21.577404	
94      	 0.000000	 2.527798	 5.116223	 7.797230	 10.488087	 13.063577	 15.343235	 17.198750	 18.765675	 20.162663	 21.176882	 21.616720	 21.706922	 21.722380	 21.722234	 21.711686	 21.695937	 21.695937	 21.695937	 21.695937	 21.695937	 21.695937	 21.695937	 21.695937	 21.695937	 21.695937	 21.695937	 21.695937	 21.695937	 21.695937	 21.695937	 21.695937	 21.695937	 21.695937	 21.695937	 21.695937	 21.695937	 21.695937	 21.695937	 21.695937	
95      	 0.000000	 2.522893	 5.118992	 7.828046	 10.555995	 13.162251	 15.453949	 17.297893	 18.851843	 20.255368	 21.284321	 21.731836	 21.823904	 21.839910	 21.839982	 21.829430	 21.813566	 21.813566	 21.813566	 21.813566	 21.813566	 21.813566	 21.813566	 21.813566	 21.813566	 21.813566	 21.813566	 21.813566	 21.813566	 21.813566	 21.813566	 21.813566	 21.813566	 21.813566	 21.813566	 21.813566	 21.813566	 21.813566	 21.813566	 21.813566	
96      	 0.000000	 2.522820	 5.129823	 7.867338	 10.630261	 13.263601	 15.564237	 17.395788	 18.936975	 20.346774	 21.390112	 21.845504	 21.939904	 21.956775	 21.957198	 21.946655	 21.930629	 21.930629	 21.930629	 21.930629	 21.930629	 21.930629	 21.930629	 21.930629	 21.930629	 21.930629	 21.930629	 21.930629	 21.930629	 21.930629	 21.930629	 21.930629	 21.930629	 21.930629	 21.930629	 21.930629	 21.930629	 21.930629	 21.930629	 21.930629	
97      	 0.000000	 2.528091	 5.149529	 7.915852	 10.711339	 13.367755	 15.674042	 17.492442	 19.021212	 20.437051	 21.494415	 21.957937	 22.055217	 22.073321	 22.074247	 22.063719	 22.047465	 22.047465	 22.047465	 22.047465	 22.047465	 22.047465	 22.047465	 22.047465	 22.047465	 22.047465	 22.047465	 22.047465	 22.047465	 22.047465	 22.047465	 22.047465	 22.047465	 22.047465	 22.047465	 22.047465	 22.047465	 22.047465	 22.047465	 22.047465	
98      	 0.000000	 2.539218	 5.178920	 7.974336	 10.799685	 13.474840	 15.783308	 17.587862	 19.104700	 20.526369	 21.597390	 22.069352	 22.170139	 22.189895	 22.191490	 22.180978	 22.164413	 22.164413	 22.164413	 22.164413	 22.164413	 22.164413	 22.164413	 22.164413	 22.164413	 22.164413	 22.164413	 22.164413	 22.164413	 22.164413	 22.164413	 22.164413	 22.164413	 22.164413	 22.164413	 22.164413	 22.164413	 22.164413	 22.164413	 22.164413	
99      	 0.000000	 2.556716	 5.218807	 8.043539	 10.895753	 13.584984	 15.891980	 17.682056	 19.187581	 20.614898	 21.699199	 22.179962	 22.284968	 22.306843	 22.309292	 22.298789	 22.281812	 22.281812	 22.281812	 22.281812	 22.281812	 22.281812	 22.281812	 22.281812	 22.281812	 22.281812	 22.281812	 22.281812	 22.281812	 22.281812	 22.281812	 22.281812	 22.281812	 22.281812	 22.281812	 22.281812	 22.281812	 22.281812	 22.281812	 22.281812	
100     	 0.000000	 2.581097	 5.270000	 8.124210	 11.000000	 13.698315	 16.000000	 17.775032	 19.270000	 20.702809	 21.800000	 22.289983	 22.400000	 22.424512	 22.428014	 22.417509	 22.400000	 22.400000	 22.400000	 22.400000	 22.400000	 22.400000	 22.400000	 22.400000	 22.400000	 22.400000	 22.400000	 22.400000	 22.400000	 22.400000	 22.400000	 22.400000	 22.400000	 22.400000	 22.400000	 22.400000	 22.400000	 22.400000	 22.400000	 22.400000	
101     	 0.000000	 2.612655	 5.332946	 8.216708	 11.112567	 13.814764	 16.107208	 17.866707	 19.351994	 20.790165	 21.899848	 22.399504	 22.515381	 22.543081	 22.547843	 22.537312	 22.519135	 22.519135	 22.519135	 22.519135	 22.519135	 22.519135	 22.519135	 22.519135	 22.519135	 22.519135	 22.519135	 22.519135	 22.519135	 22.519135	 22.519135	 22.519135	 22.519135	 22.519135	 22.519135	 22.519135	 22.519135	 22.519135	 22.519135	 22.519135	
102     	 0.000000	 2.650811	 5.406633	 8.319850	 11.232345	 13.933478	 16.213024	 17.956650	 19.433181	 20.876601	 21.998371	 22.508119	 22.630657	 22.662057	 22.668256	 22.657653	 22.638649	 22.638649	 22.638649	 22.638649	 22.638649	 22.638649	 22.638649	 22.638649	 22.638649	 22.638649	 22.638649	 22.638649	 22.638649	 22.638649	 22.638649	 22.638649	 22.638649	 22.638649	 22.638649	 22.638649	 22.638649	 22.638649	 22.638649	 22.638649	
103     	 0.000000	 2.694768	 5.489683	 8.432063	 11.357911	 14.053409	 16.316765	 18.044339	 19.513073	 20.961646	 22.095090	 22.615296	 22.745225	 22.780781	 22.788554	 22.777804	 22.757792	 22.757792	 22.757792	 22.757792	 22.757792	 22.757792	 22.757792	 22.757792	 22.757792	 22.757792	 22.757792	 22.757792	 22.757792	 22.757792	 22.757792	 22.757792	 22.757792	 22.757792	 22.757792	 22.757792	 22.757792	 22.757792	 22.757792	 22.757792	
104     	 0.000000	 2.743728	 5.580720	 8.551776	 11.487844	 14.173508	 16.417746	 18.129250	 19.591181	 21.044828	 22.189528	 22.720503	 22.858483	 22.898593	 22.908037	 22.897037	 22.875815	 22.875815	 22.875815	 22.875815	 22.875815	 22.875815	 22.875815	 22.875815	 22.875815	 22.875815	 22.875815	 22.875815	 22.875815	 22.875815	 22.875815	 22.875815	 22.875815	 22.875815	 22.875815	 22.875815	 22.875815	 22.875815	 22.875815	 22.875815	
105     	 0.000000	 2.796895	 5.678368	 8.677417	 11.620721	 14.292727	 16.515284	 18.210863	 19.667017	 21.125677	 22.281206	 22.823208	 22.969826	 23.014833	 23.026007	 23.014625	 22.991966	 22.991966	 22.991966	 22.991966	 22.991966	 22.991966	 22.991966	 22.991966	 22.991966	 22.991966	 22.991966	 22.991966	 22.991966	 22.991966	 22.991966	 22.991966	 22.991966	 22.991966	 22.991966	 22.991966	 22.991966	 22.991966	 22.991966	 22.991966	
106     	 0.000000	 2.853469	 5.781248	 8.807415	 11.755119	 14.410015	 16.608694	 18.288656	 19.740094	 21.203720	 22.369646	 22.922881	 23.078651	 23.128840	 23.141763	 23.129842	 23.105498	 23.105498	 23.105498	 23.105498	 23.105498	 23.105498	 23.105498	 23.105498	 23.105498	 23.105498	 23.105498	 23.105498	 23.105498	 23.105498	 23.105498	 23.105498	 23.105498	 23.105498	 23.105498	 23.105498	 23.105498	 23.105498	 23.105498	 23.105498	
107     	 0.000000	 2.912654	 5.887984	 8.940197	 11.889617	 14.524325	 16.697292	 18.362107	 19.809922	 21.278487	 22.454369	 23.018989	 23.184356	 23.239955	 23.254606	 23.241958	 23.215660	 23.215660	 23.215660	 23.215660	 23.215660	 23.215660	 23.215660	 23.215660	 23.215660	 23.215660	 23.215660	 23.215660	 23.215660	 23.215660	 23.215660	 23.215660	 23.215660	 23.215660	 23.215660	 23.215660	 23.215660	 23.215660	 23.215660	 23.215660	
108     	 0.000000	 2.973653	 5.997200	 9.074192	 12.022792	 14.634608	 16.780395	 18.430694	 19.876014	 21.349505	 22.534898	 23.111002	 23.286336	 23.347519	 23.363838	 23.350248	 23.321703	 23.321703	 23.321703	 23.321703	 23.321703	 23.321703	 23.321703	 23.321703	 23.321703	 23.321703	 23.321703	 23.321703	 23.321703	 23.321703	 23.321703	 23.321703	 23.321703	 23.321703	 23.321703	 23.321703	 23.321703	 23.321703	 23.321703	 23.321703	
109     	 0.000000	 3.035667	 6.107519	 9.207829	 12.153222	 14.739814	 16.857318	 18.493895	 19.937881	 21.416303	 22.610755	 23.198386	 23.383988	 23.450870	 23.468758	 23.453983	 23.422876	 23.422876	 23.422876	 23.422876	 23.422876	 23.422876	 23.422876	 23.422876	 23.422876	 23.422876	 23.422876	 23.422876	 23.422876	 23.422876	 23.422876	 23.422876	 23.422876	 23.422876	 23.422876	 23.422876	 23.422876	 23.422876	 23.422876	 23.422876	
110     	 0.000000	 3.097900	 6.217563	 9.339535	 12.279485	 14.838896	 16.927378	 18.551189	 19.995036	 21.478410	 22.681460	 23.280611	 23.476710	 23.549350	 23.568667	 23.552436	 23.518430	 23.518430	 23.518430	 23.518430	 23.518430	 23.518430	 23.518430	 23.518430	 23.518430	 23.518430	 23.518430	 23.518430	 23.518430	 23.518430	 23.518430	 23.518430	 23.518430	 23.518430	 23.518430	 23.518430	 23.518430	 23.518430	 23.518430	 23.518430	
