Grib  N° 216
Zone : Lon: 121, Lat: -48 X Lon: 178, Lat: 41
Cases en longitudes: 57 pas de 1.01786°;
Cases en latitudes: 90 pas de 1°

Données TWS, TWD de la fenêtre 0

Date: 2017/04/02 12:00:00 UTC
LATITUDE\LONGITUDE	121.00000	122.01786	123.03572	124.05358	125.07144	126.08930	127.10716	128.12502	129.14288	130.16074	131.17860	132.19646	133.21432	134.23218	135.25004	136.26790	137.28576	138.30362	139.32148	140.33934	141.35720	142.37506	143.39292	144.41078	145.42864	146.44650	147.46436	148.48222	149.50008	150.51794	151.53580	152.55366	153.57152	154.58938	155.60724	156.62510	157.64296	158.66082	159.67868	160.69654	161.71440	162.73226	163.75012	164.76798	165.78584	166.80370	167.82156	168.83942	169.85728	170.87514	171.89300	172.91086	173.92872	174.94658	175.96444	176.98230	178.00016	
-29.00000	8.47525;106.52303	9.22612;101.07082	9.08206;110.82444	9.56209;113.82412	8.67625;107.32263	8.60693;109.37615	10.23466;116.18059	11.09430;117.83569	10.10505;125.93743	8.27759;117.38944	7.51498;121.84829	7.92499;120.30095	8.61181;127.72866	9.36088;131.99517	9.41837;139.05881	10.33396;160.10621	9.83469;125.84836	11.06961;129.77079	14.55598;148.73837	15.34371;156.79664	14.63103;154.61291	17.35242;161.34788	15.75609;167.32169	8.71003;124.76470	12.07338;132.58581	8.64171;123.01090	8.19113;128.67043	13.64427;130.64379	11.75261;127.13524	5.59101;131.05288	6.97188;127.77411	6.02009;180.05286	23.82415;182.94645	27.19928;171.81546	25.92286;168.98076	25.43174;169.88826	26.60483;170.52529	25.05296;173.67895	4.75099;169.86709	16.68542;19.74587	15.47115;19.85333	12.89084;20.29313	12.24448;26.23963	12.00387;30.89693	12.69838;36.75412	12.87771;42.49185	11.38603;41.82362	11.32031;52.57717	13.45698;58.34641	14.42106;62.02564	13.12712;63.92821	12.30046;69.88693	11.97704;77.69611	11.65968;83.52521	11.48813;92.58354	10.97234;97.13081	8.70028;83.84358	
-30.00000	6.86488;83.65981	8.85020;92.38291	8.35762;99.86193	8.27632;107.03050	8.50687;114.28684	9.33508;106.89923	9.24405;108.03109	9.31061;116.13708	13.51947;130.68529	14.52552;144.69139	9.63536;136.69213	8.42508;134.24283	9.15693;122.86019	8.67043;135.18166	8.07938;139.48842	9.53996;158.74708	8.45866;133.22143	7.44583;127.20197	17.18259;139.34457	11.42183;155.15335	13.67341;156.46344	15.17775;161.23322	16.68798;163.72458	11.93561;134.34677	9.77075;127.83200	8.97876;124.40567	10.21320;111.24655	9.78051;125.89509	12.62854;138.55688	10.11583;141.24046	7.67630;133.19407	5.68118;183.86689	28.75577;178.79925	26.74434;169.09434	26.07473;159.08301	27.33618;161.93869	27.72381;157.53465	27.61771;155.90648	17.99606;150.12846	14.69164;43.30586	12.86176;30.68902	10.80165;30.58003	11.01932;25.88703	12.37697;22.18240	13.18692;30.06858	12.43874;39.91563	11.32252;42.24458	13.41934;54.61090	13.48177;55.08175	12.44525;58.00790	11.64790;60.55162	11.76800;63.67197	11.40289;69.01298	11.28954;73.72125	12.02705;82.47757	11.16077;87.97183	9.72360;88.28164	
-31.00000	7.93900;57.90539	8.47393;76.17096	7.51658;86.84384	7.63185;96.61819	11.01861;112.68362	15.44455;109.38363	17.01238;112.59771	16.52661;115.94721	14.37946;120.84686	14.29972;128.71454	15.15342;132.48381	14.83756;137.03859	13.28933;155.41802	8.48964;140.60260	13.80918;124.70791	16.19477;147.54410	14.71565;161.14143	14.02301;115.63442	7.11368;155.64804	8.36586;157.35556	10.89337;154.68787	11.82883;160.89214	13.18988;165.76101	12.92012;169.01973	7.46920;121.59285	8.26597;112.27680	10.34593;101.20226	7.04797;112.20049	13.34616;130.51078	4.97364;149.82738	5.71406;138.80674	3.84283;207.53460	26.46447;171.08426	27.53433;159.75736	26.57927;150.57788	28.66958;154.66158	28.95360;151.33919	28.50447;152.86530	24.83115;146.48160	11.81199;143.23571	12.49167;24.16799	11.78080;32.97948	10.30146;26.32330	10.55869;28.64582	13.53670;36.06851	14.30104;45.56171	14.32935;52.90626	13.55417;52.88031	13.12084;56.04626	11.36354;55.83422	10.42965;55.90121	9.45608;58.73123	10.03033;59.02101	9.90728;64.05333	10.95296;65.41803	10.92213;75.87720	10.89908;78.79027	
-32.00000	7.66772;59.53446	8.78872;58.66895	7.17713;70.29398	12.27584;96.30823	12.37783;98.42443	12.66223;99.64163	10.88500;99.61910	12.37887;95.67747	16.91006;100.30367	17.80143;110.31879	17.91769;116.87639	17.79660;123.52865	14.99740;137.91564	12.88431;130.35565	14.17814;130.27326	13.55217;149.30403	14.16196;156.85201	9.40472;127.91445	8.48215;163.50450	10.89015;156.07489	11.42800;158.95689	9.93664;169.85957	8.58323;178.03508	9.44908;173.11767	5.68650;151.34108	5.13391;133.08216	11.00053;78.88465	13.28778;96.10925	8.94245;122.03179	6.58005;146.14093	3.44709;160.24794	11.82978;165.39061	24.62175;164.40131	27.73501;155.85648	29.32958;149.42048	29.08826;148.35989	29.70230;149.30955	28.01284;149.44536	27.27154;145.99165	20.79312;139.20408	11.94416;143.19724	6.78728;28.31187	10.04350;20.32891	10.90998;30.59960	13.61364;38.72241	15.30797;46.10616	14.35839;47.53482	12.98467;51.50362	12.04664;55.00722	10.85618;55.57866	8.27449;59.00623	8.14109;61.56860	8.39580;55.18403	8.48220;46.07707	7.77559;49.57271	9.55633;53.11146	9.54291;60.19721	
-33.00000	6.69462;36.73681	10.66140;55.96225	14.30797;77.17400	11.49501;71.87144	17.64019;72.67121	16.29422;76.92034	13.55733;74.94158	13.67793;81.54171	15.27814;88.22903	15.91048;98.02022	17.46728;112.12939	19.03387;120.63762	20.57325;128.08912	16.73345;130.34501	10.75211;122.59830	9.68533;145.73903	13.53444;151.17479	6.65218;132.47754	8.15445;164.99644	8.09998;166.92757	8.58202;166.89547	8.68445;177.11326	8.72058;180.61125	8.34474;183.69156	5.21248;169.78173	4.62475;74.80487	4.92208;115.47210	11.51680;86.54745	6.13199;122.17866	5.94449;159.79920	5.58462;164.76412	22.30641;151.24170	23.62926;155.37037	26.20806;152.97123	27.93627;150.83813	28.60759;151.63438	28.86114;146.70273	27.96820;148.89966	27.90027;144.60246	26.79795;144.11930	23.08308;143.77859	3.82346;159.88649	8.13638;319.65111	11.57373;13.84720	15.19130;29.16925	15.99441;35.96184	14.19973;45.70992	11.61139;53.26247	11.14418;59.22992	8.09970;60.73438	6.27254;55.08362	6.19414;48.29479	6.41213;49.11799	7.26575;40.52980	7.26242;24.74729	6.52652;25.03854	6.43509;29.89515	
-34.00000	12.55576;80.46476	16.28544;56.48443	20.19517;56.15698	17.58801;54.61838	15.87644;59.63298	14.21231;58.52957	13.03259;65.39974	13.63422;74.13876	14.49805;80.17269	15.05710;90.94017	15.47331;102.58190	16.37476;111.40229	17.54090;118.35709	18.63795;122.84976	11.43888;131.90037	10.59146;130.90697	16.58442;136.76677	7.42249;145.42347	8.31351;171.42220	8.13109;171.49565	6.37703;181.12289	7.06209;178.61993	7.45856;173.58659	7.85512;177.14326	4.02497;159.77883	5.28804;116.52738	12.19508;86.81470	13.38413;100.59512	5.55589;115.48920	3.77186;232.91750	19.58471;150.96473	20.44770;145.52738	22.60217;148.43285	24.27668;147.04922	25.94693;149.06937	27.35581;150.42934	28.55359;153.27447	29.43241;149.82800	28.73647;147.01188	28.75280;146.11870	28.21647;145.48009	24.13093;149.80801	2.57258;330.33567	9.95800;351.53283	12.84332;40.72827	10.09208;50.93344	12.35399;47.55712	11.23964;61.03683	8.47817;56.88196	6.29799;49.31814	4.70242;33.21053	4.85631;18.29643	5.86774;20.74043	6.28028;29.78667	6.69072;36.80331	5.78232;35.32497	4.84482;17.27174	
-35.00000	20.44865;64.31186	22.74419;51.55509	20.96576;44.63564	17.24964;45.60722	15.18132;42.69612	14.08088;42.55515	12.54671;52.69336	13.09799;64.76222	13.98929;75.04653	13.68709;84.02545	13.46864;94.33966	14.59803;104.08805	15.68636;111.79350	16.36326;116.82683	17.49839;123.05455	17.47930;116.61919	7.56895;130.15600	12.56333;138.71984	4.53248;177.80539	8.33489;167.24335	7.72176;170.33233	9.63561;150.75117	10.72231;152.12487	10.70989;161.66700	7.84177;166.33716	8.84197;126.48949	10.24902;73.36945	11.83144;105.15274	3.47465;139.53777	4.87887;195.97330	15.82534;152.32701	17.23738;137.37643	20.41743;146.04971	22.78800;149.97505	23.32365;146.27947	25.06818;147.36354	26.42081;147.39496	27.43904;152.14240	28.66603;150.45896	27.70862;145.87404	27.68029;145.96064	26.61579;146.06389	31.83562;140.62444	7.02893;80.17872	18.36525;34.55631	13.79465;32.54798	10.90522;44.12615	8.84239;44.61702	5.22989;24.20250	5.11441;14.69646	4.38849;349.11313	3.62323;348.57251	4.60051;338.43236	6.97072;354.92693	6.10049;0.87379	5.37150;11.69217	4.10497;28.26400	
-36.00000	20.83353;42.27729	19.78966;38.53148	18.63078;37.13412	17.25402;32.70536	15.53327;27.68741	13.95582;33.77196	12.18117;41.32526	12.83999;55.70368	12.86099;64.66659	12.01103;72.68525	12.14130;83.11642	13.44169;94.87374	14.23447;105.57353	14.42553;111.72542	15.71128;113.09155	15.37730;116.50999	10.91664;124.45125	18.08440;134.89113	14.48321;142.70100	5.88352;161.48005	9.06701;148.47377	11.86058;140.08622	11.70913;148.62680	7.06240;164.08775	6.40530;175.72385	6.24038;137.71431	4.26294;142.76433	4.07148;114.56326	2.99377;232.38604	21.47127;194.78607	11.46255;139.55995	15.82963;133.21366	18.00079;143.20930	20.57571;151.95330	21.14894;153.72698	22.72528;147.36342	24.11204;148.62036	24.79115;148.98231	25.09507;149.90777	26.83321;149.71249	26.18096;145.80259	26.04721;143.27377	25.61413;142.97357	26.07246;139.50527	22.81452;141.01388	12.25256;92.34129	6.66848;65.87811	6.62542;35.78390	5.24973;348.99172	5.12937;329.85922	5.87525;322.69031	5.70939;330.48498	3.36602;343.46239	8.70688;323.05847	10.07750;337.45155	6.96206;343.83552	4.64331;348.40782	
-37.00000	19.39441;26.48801	19.16238;25.99060	17.64923;25.11716	14.22961;19.17997	13.83968;21.79095	14.21655;22.72231	12.54295;36.36554	11.83366;43.16956	12.32447;51.82146	12.40444;63.76421	12.24018;74.98828	11.59402;82.25015	11.87570;93.17713	13.05211;100.92001	14.41607;109.86430	14.28130;116.88243	15.53291;118.28085	17.08445;126.91553	18.16810;128.38791	6.50751;142.58585	6.37315;147.65748	6.33002;145.91466	6.74781;151.54498	6.18650;150.31764	4.75030;172.00253	3.86578;142.08711	2.99040;154.71423	1.05068;149.72525	3.06228;265.26656	15.38789;155.56204	17.49102;126.12615	16.81982;140.23258	17.12694;146.29731	18.94851;158.84475	18.54490;155.90397	20.15772;148.55393	21.06464;152.34956	21.72886;151.55726	22.37635;150.61134	23.17938;146.77369	24.72850;149.13666	24.32191;148.16450	21.72457;142.90966	21.17426;142.36214	20.25878;142.75956	20.69933;143.52719	18.97523;141.13761	8.78690;165.13063	6.26711;329.95975	6.81282;307.05626	6.69266;306.85326	7.43841;315.92114	8.13289;327.96994	3.29839;308.44360	10.79160;346.18152	9.21973;345.84363	7.47845;304.51619	
-38.00000	20.66541;14.76825	19.83643;13.44660	18.08635;14.17813	14.30902;12.23501	14.20526;15.64708	13.52867;15.08255	13.14736;24.20418	11.88688;32.10470	12.85291;40.33813	12.26339;53.80036	10.67391;65.15708	10.39542;72.31043	11.00273;80.33798	12.09010;90.84883	12.47249;104.39359	13.75616;110.51435	14.70903;117.26940	15.06541;123.88485	15.17187;122.04273	12.44329;118.69904	4.07073;130.89509	2.45089;146.54940	2.46758;144.69738	5.86309;138.84445	3.65819;126.18182	1.93260;78.83586	0.80170;97.06264	3.02505;240.39075	9.05383;151.67425	17.88432;142.33421	18.46482;142.52813	16.55631;151.21720	17.50347;155.03154	15.83457;158.49638	16.98112;152.87471	18.77516;156.86450	18.97566;157.93592	18.69530;155.56147	19.22113;155.37622	19.32320;151.18668	20.39467;143.80400	21.34380;149.03177	22.78759;151.99220	20.90616;150.87295	18.46907;151.46317	17.94706;151.03641	18.00629;158.12049	15.87809;152.56913	16.35311;178.53080	2.50826;193.44392	6.62896;302.47377	7.23935;301.48353	8.83746;319.69260	3.25764;24.66267	1.79394;54.13467	2.85823;69.46858	6.32610;289.38144	
-39.00000	22.51459;6.84277	20.60250;9.61340	18.74169;10.07098	15.63994;8.80788	15.20605;9.01680	14.46425;13.80841	13.51687;18.06235	12.35655;19.69202	13.43858;27.16178	12.46566;39.15237	10.49123;50.05851	9.75228;62.03030	9.87328;70.13447	9.96884;79.71444	9.98377;95.19443	11.25869;105.76875	12.19998;117.75727	12.54642;121.94422	13.34803;120.83783	14.19550;121.16290	14.70266;133.49468	14.98586;136.49790	13.30254;135.84662	12.38170;149.30004	10.90168;117.46972	8.23868;83.60875	9.85427;104.58997	10.86822;128.36213	11.98383;140.39672	13.66692;146.51561	14.75150;151.89509	17.03199;163.01890	17.22748;163.23759	15.13883;156.29522	15.99604;156.02337	16.89506;161.76309	16.38858;161.79500	16.18757;158.47839	17.29392;158.78818	17.22663;155.76312	16.73777;151.02683	17.99750;148.92481	19.10823;153.93021	19.72688;157.06310	20.20311;157.16768	16.88774;158.38719	15.08187;161.22644	16.04213;168.81397	15.70754;173.83998	13.09098;190.58412	7.79449;200.49584	2.53481;278.40910	2.13940;341.38067	3.72872;41.97833	2.72466;349.01474	7.62327;314.52478	9.21688;309.09386	
-40.00000	22.62676;359.65544	22.35408;4.77605	20.91300;4.17683	16.89827;359.59275	16.56983;1.58446	16.45539;5.24051	15.21757;8.67661	13.93672;10.82878	14.25075;12.14989	13.44286;19.89180	11.12961;29.74860	9.42751;42.09171	7.94250;57.97083	7.24567;69.83435	6.84902;84.13569	7.69139;94.03176	8.38815;111.53513	10.08921;121.55254	10.67482;126.90954	10.70527;128.09763	11.29410;134.17716	12.63126;142.59753	13.82265;150.51496	14.91283;160.75260	7.57134;86.31998	7.44978;84.84577	9.57509;103.08267	9.72139;136.83925	12.52592;141.74289	15.44521;149.00285	14.99570;164.89731	14.34554;167.14446	16.45439;158.93139	15.26167;153.41210	15.30065;158.92852	16.26667;165.45229	14.14857;157.05981	13.94643;153.32424	15.46935;159.29228	16.68097;158.78752	16.69035;157.75126	16.44195;161.47080	16.07179;163.55962	16.59061;165.65929	17.54808;167.02441	18.41410;170.38654	18.52783;174.21524	15.38240;180.56888	14.36903;183.77824	15.46706;197.17790	13.70398;209.53218	6.89303;238.95034	3.88757;276.76825	4.96718;339.53108	4.53508;315.92040	4.24710;214.89749	7.05484;336.96724	
-41.00000	21.90692;351.99212	22.60001;356.95204	21.48020;357.51770	19.95316;358.24928	17.78490;352.12230	18.66552;354.74420	17.18676;358.60208	16.06588;359.98267	15.10417;357.52387	15.09082;1.42084	12.93897;11.35889	9.68047;13.17398	7.03812;20.24674	4.45017;34.75214	3.23539;61.66427	2.57095;102.35073	1.57743;89.09199	2.82271;107.22457	5.63117;127.96172	7.50683;140.20013	8.29577;146.74931	9.74384;151.78363	12.19566;154.97483	13.90305;156.23760	6.05489;168.83977	4.89468;39.39187	3.19886;132.46339	9.86201;166.82932	12.12643;159.15372	12.06529;161.49499	12.94627;172.55572	13.32769;170.03898	14.51493;169.70888	15.35632;169.27609	14.37864;169.20048	15.20629;173.46731	13.62540;165.29763	13.14221;162.10908	13.69362;169.60568	14.88790;172.82358	15.83051;173.84697	15.67497;174.37000	15.96099;177.80142	15.75723;179.57845	15.39068;180.73380	16.80993;184.50999	17.45536;187.35136	17.75873;192.30501	17.38059;198.36403	16.02823;204.04715	10.06054;211.32828	2.46035;105.44609	11.96963;121.20152	9.73715;170.53316	3.81029;231.73278	10.08796;288.75964	10.97448;308.96095	
-42.00000	25.62398;346.35380	24.57622;347.01897	23.64498;355.12370	21.73143;355.82865	20.22244;348.10680	20.40256;346.36095	20.20859;352.19959	17.52409;351.32342	16.47272;351.26463	14.89649;352.80061	14.37683;359.72886	11.71295;351.59853	9.00419;342.55079	6.69304;342.01760	3.43815;333.29008	2.33803;259.07777	3.08784;226.22430	2.42759;232.65938	3.41913;303.66296	1.50065;255.64515	4.59763;176.19156	7.25085;173.61231	7.96523;170.63055	8.93059;156.93405	4.53983;132.60539	0.63430;119.00003	1.27429;228.84696	9.25751;183.97813	12.47554;184.28915	11.14547;190.31825	12.32708;197.16915	11.21211;183.37533	12.66566;183.85970	14.19021;186.57907	13.29860;182.47722	14.42905;186.84737	13.40691;187.11512	13.61067;191.35005	13.29171;189.45268	12.64814;192.31678	13.56821;193.00692	13.96583;192.40166	14.97382;192.52074	15.13669;191.30127	16.46323;193.54073	16.82130;197.43618	18.42833;202.44785	19.27376;206.82864	19.19304;212.69862	15.26535;207.24373	3.69097;209.72168	0.60011;293.60069	9.99449;181.43321	15.55363;189.57533	15.14247;164.87196	7.18200;219.15629	9.08449;249.58745	
-43.00000	22.42840;339.82174	22.94791;348.78525	22.14332;349.47922	21.84368;350.40021	21.81579;344.79234	22.21759;342.15793	21.94377;343.97164	20.41279;349.04853	18.44268;343.64897	17.21406;347.90208	14.68475;346.60575	12.90119;345.14087	11.05842;332.45301	9.63538;326.01179	7.83330;318.21887	6.92085;287.69195	6.62335;269.18325	6.06791;257.11503	5.88980;249.28018	6.13007;272.31711	6.31553;276.03171	5.72472;247.71087	6.13786;217.97684	6.77302;209.35327	3.12034;207.79744	1.78294;256.55918	6.14351;226.53846	13.13320;220.62429	10.48496;207.37265	11.83626;209.39825	11.90735;197.59786	10.96818;191.04507	11.99430;199.14850	12.65138;197.24059	13.90976;197.40943	14.82838;198.31382	14.15901;200.13163	14.56802;204.78689	14.74462;203.50308	14.61223;207.16499	14.95905;207.61394	13.60429;209.27168	13.47316;205.32652	13.98551;201.78366	15.48098;201.77202	17.77401;207.37214	19.53753;213.20310	22.49347;221.66150	17.18558;231.19850	3.71518;165.45480	3.50510;123.19038	3.62710;145.45827	13.41936;169.45835	17.61939;160.34362	19.72585;160.52050	18.10100;173.33366	12.72555;190.82933	
-44.00000	23.00856;334.79888	25.71597;345.02255	25.90183;350.44013	22.26347;346.14332	22.31238;335.56059	24.32147;334.78669	25.13575;337.07951	22.83871;340.27729	21.06738;340.71744	18.95501;340.50032	17.35595;338.97078	14.86079;334.65169	13.08461;326.45158	12.54463;312.10468	11.67478;306.70772	10.26785;295.66760	9.61818;288.36538	7.69557;278.73758	7.03631;268.80154	7.71669;255.08160	8.19788;257.85742	8.21318;267.76196	8.42770;262.86384	9.38459;249.59814	10.75478;246.89659	12.41363;252.30557	13.40503;246.37157	11.31522;232.27177	10.61207;225.74213	12.78991;223.10316	11.18501;207.06380	11.76582;209.03805	12.96842;210.70895	12.62709;210.08184	12.89876;214.29596	13.08979;214.11720	14.26748;217.48816	14.67330;217.45891	16.22217;216.81635	15.99795;217.07875	15.59267;215.98274	15.28180;217.04335	14.12071;219.44202	13.02231;214.06011	15.01435;210.48924	18.18439;211.42173	19.94995;223.06533	4.62722;168.54138	2.43631;346.95501	5.49782;107.86159	8.42444;124.63244	11.29624;155.61806	14.66714;174.52439	17.61738;174.21455	17.64449;172.87420	16.93950;178.17255	16.30264;175.41791	
-45.00000	27.07264;338.51944	25.65941;338.24292	25.17593;340.91873	25.36331;343.18299	24.62927;337.43023	24.48969;325.96180	24.96200;329.90093	24.50662;332.27638	23.90707;337.46757	22.14783;336.13912	20.17550;332.43506	18.53389;328.92082	16.48348;322.15168	15.52349;308.80883	14.34733;302.35509	12.02496;297.46391	10.38299;294.92423	9.19071;295.11792	9.35312;285.66243	10.06122;272.96688	10.83456;264.38146	11.78331;264.60447	12.37397;262.34558	13.53694;256.83580	14.71945;253.51310	14.01366;248.18531	12.74015;246.53281	9.18468;255.47554	12.39260;249.71744	12.24270;243.14609	9.93153;235.56656	11.98316;232.06306	14.12017;229.85813	14.71755;229.18283	15.35470;229.60562	15.66070;234.57393	16.11220;237.09407	16.68971;236.34695	16.83119;234.39540	16.72020;231.71782	16.76261;230.31183	15.90714;228.19493	15.30712;227.59906	13.46845;228.54570	13.25175;222.12839	13.31098;200.74015	1.81947;198.73886	3.80621;184.87494	5.57693;152.85442	7.13197;142.53043	7.44410;165.40493	7.85508;180.03038	10.34830;200.66816	12.74590;199.44634	15.62764;192.56514	16.22026;186.78401	16.06413;185.20698	
-46.00000	30.84063;336.68286	29.94892;337.84985	28.60157;337.56225	27.65042;336.35079	26.92966;334.36347	26.65519;330.97137	24.93712;328.25878	22.88799;332.98665	22.09328;333.03365	21.09208;330.36122	20.93584;326.88536	19.78968;326.31149	17.96570;320.09601	16.12857;315.22461	14.24695;308.82463	12.63350;303.98592	13.08350;298.23272	12.93091;292.69871	12.79522;283.92435	12.71310;275.59727	10.85198;272.09720	12.10036;262.17514	14.08852;256.21493	14.65041;255.47699	14.98102;248.75219	14.83980;242.91470	14.06111;240.51841	13.69827;239.37368	13.65506;239.45588	12.50016;241.15915	12.15444;244.54966	14.84702;243.37456	15.88472;238.80177	16.47432;233.87918	17.42391;230.95885	18.49210;229.66850	19.09255;228.26037	19.19084;236.09585	19.50571;246.19636	18.29852;247.73971	17.67416;244.27196	17.39970;240.97524	16.87385;243.00694	15.81796;247.37093	14.13666;248.55410	3.91618;278.40842	3.02566;256.57442	3.04069;308.03914	5.13856;277.14061	11.78743;217.89984	10.44395;207.30905	11.13216;216.30762	12.63531;218.41615	13.85642;215.93105	14.08191;213.21186	17.11859;207.57764	15.96966;200.00098	
-47.00000	32.01875;330.10411	31.60782;335.10870	30.85687;336.34169	30.36345;335.37755	29.37503;332.54642	28.33032;331.26843	27.53284;332.99716	25.79131;331.40677	24.38240;330.61886	23.56457;330.20353	22.33604;328.18278	21.37613;325.64953	19.87413;321.54061	18.40019;317.59887	16.58611;316.94712	15.56102;311.33338	15.99365;299.78375	15.60878;292.36189	14.99125;283.56595	13.47025;273.03087	10.88868;271.75343	11.39970;272.24766	14.98692;260.85777	16.10452;258.34286	15.81048;252.54302	15.74252;246.57196	15.47294;242.07317	14.25332;241.06152	11.54724;244.68594	14.31296;244.46506	15.95774;245.09568	16.20330;243.17981	15.63412;237.13979	17.47040;230.15035	19.34236;229.16887	20.08641;229.05349	20.14961;228.63728	20.77389;229.55397	21.22252;231.87785	20.67760;243.24947	20.47104;257.21213	18.71660;256.35776	18.42841;255.17953	17.93867;258.30895	17.88181;262.33498	17.28885;264.62209	11.56958;263.97235	15.77578;259.42805	16.54994;247.10008	16.81173;235.60987	15.61186;230.80094	14.22595;230.15534	13.11592;235.54921	14.07081;243.21548	14.98164;239.84202	15.50012;233.80411	16.15681;223.39126	
-48.00000	30.37618;325.05904	32.55606;333.20546	32.48147;335.78789	32.00798;335.89125	30.65297;333.88993	29.42112;331.96871	28.26595;330.69204	27.96319;332.24146	25.97735;328.70904	24.35659;326.84386	23.43383;326.90839	22.99233;324.67067	22.11522;320.40657	20.32295;318.97905	18.57466;318.39385	17.67058;314.00164	17.69611;305.91447	17.04658;296.85140	15.14398;290.46567	13.74292;281.90118	14.38694;273.02052	15.27566;271.11194	15.59731;266.38661	14.52847;261.39721	12.78986;261.83652	14.64598;257.53718	15.84736;252.40071	15.97084;250.60793	16.01466;249.76140	16.47096;249.69800	15.91576;248.67159	15.50483;244.22844	16.68771;239.85694	17.54157;237.21861	18.48388;232.42149	19.68125;231.66542	20.29278;228.98497	21.28775;229.72217	21.01996;232.14453	20.11510;234.10574	18.73108;244.53589	19.23338;263.45390	20.08689;260.10926	19.40237;256.98430	19.05395;259.27586	19.20410;264.94382	20.03589;267.83547	18.80839;267.84051	17.11699;263.32209	18.26323;257.28466	19.12737;249.68657	18.34699;244.92553	17.81441;244.12836	13.82785;253.03229	14.78736;259.01946	17.14146;251.54861	18.22945;246.49656	


Données TWS, TWD de la fenêtre 1

Date: 2017/04/02 15:00:00 UTC
LATITUDE\LONGITUDE	121.00000	122.01786	123.03572	124.05358	125.07144	126.08930	127.10716	128.12502	129.14288	130.16074	131.17860	132.19646	133.21432	134.23218	135.25004	136.26790	137.28576	138.30362	139.32148	140.33934	141.35720	142.37506	143.39292	144.41078	145.42864	146.44650	147.46436	148.48222	149.50008	150.51794	151.53580	152.55366	153.57152	154.58938	155.60724	156.62510	157.64296	158.66082	159.67868	160.69654	161.71440	162.73226	163.75012	164.76798	165.78584	166.80370	167.82156	168.83942	169.85728	170.87514	171.89300	172.91086	173.92872	174.94658	175.96444	176.98230	178.00016	
41.00000	2.76614;251.56505	6.59582;204.40483	6.16895;203.47121	3.16372;288.10209	3.18660;271.14856	3.35348;219.61422	3.62540;285.75466	7.23752;306.44825	4.93042;308.79034	13.10338;266.05645	17.80694;274.98740	20.90282;268.57243	24.82431;255.25210	21.62674;233.43497	18.74989;225.75606	17.68272;224.36756	16.71050;233.27140	17.87295;245.68446	18.24016;259.31996	9.29036;246.26148	11.03146;249.94616	12.51528;257.96926	12.73758;227.66573	9.86439;254.92313	6.74257;210.49067	2.18692;113.33835	5.05905;13.18405	7.65793;14.09339	12.92731;20.23337	4.99672;94.08689	16.36636;136.07312	12.05268;114.32465	6.37326;98.92393	4.56607;122.32340	8.16776;107.96493	7.09130;73.73100	6.67103;41.43250	7.93865;9.99603	11.81482;13.66586	7.77275;28.10957	6.97722;22.71441	8.36277;37.63436	10.06421;41.71166	11.22150;35.20424	12.56899;41.17509	11.32931;57.91334	12.53704;59.28763	12.75093;60.69173	14.51812;62.92033	16.30509;63.12336	16.67907;68.34739	17.20406;78.60247	16.05334;86.59850	13.94197;95.77259	13.01972;102.81830	10.34235;102.37229	6.63310;96.56270	
40.00000	15.45836;245.56201	5.54489;211.04298	4.60079;289.86584	4.04931;263.81046	0.49489;45.92302	3.10000;165.79297	5.99290;281.96781	10.32266;277.24814	14.21072;267.96186	19.40492;255.07561	24.22869;243.55418	24.37600;241.59155	24.82945;239.44781	20.29394;236.06639	18.88537;230.34545	18.15700;237.02448	16.98180;242.94219	16.45319;254.59111	14.92916;264.91519	3.17641;207.98586	4.18671;223.55145	11.15369;239.61850	8.34253;246.00905	6.53673;292.44686	5.51596;75.00290	5.46483;28.44293	8.88575;358.67504	11.47545;351.99809	10.75580;336.91018	6.54404;247.48749	15.25998;134.69035	12.44649;122.05186	11.14569;120.23198	9.16623;109.31872	7.39388;87.82588	8.30326;57.31071	8.53102;24.64384	10.81897;6.58847	7.78443;19.41226	9.39061;357.15714	11.02057;31.24800	11.56643;45.87156	12.35094;44.26671	13.37911;40.22658	12.77693;42.52758	14.36241;52.48956	16.86751;51.10920	17.91714;52.00617	18.19248;59.00895	19.21392;69.03282	19.89208;75.76142	20.93939;82.50026	22.07575;88.02496	21.70771;92.08760	19.30207;93.23699	16.55611;95.13627	12.88265;102.10683	
