Grib  N° 216
Zone : Lon: 121, Lat: -48 X Lon: 178, Lat: 41
Cases en longitudes: 57 pas de 1.01786°;
Cases en latitudes: 90 pas de 1°

Données TWS, TWD de la fenêtre 0

Date: 2017/04/02 12:00:00 UTC
LATITUDE\LONGITUDE	121.00000	122.01786	123.03572	124.05358	125.07144	126.08930	127.10716	128.12502	129.14288	130.16074	131.17860	132.19646	133.21432	134.23218	135.25004	136.26790	137.28576	138.30362	139.32148	140.33934	141.35720	142.37506	143.39292	144.41078	145.42864	146.44650	147.46436	148.48222	149.50008	150.51794	151.53580	152.55366	153.57152	154.58938	155.60724	156.62510	157.64296	158.66082	159.67868	160.69654	161.71440	162.73226	163.75012	164.76798	165.78584	166.80370	167.82156	168.83942	169.85728	170.87514	171.89300	172.91086	173.92872	174.94658	175.96444	176.98230	178.00016	
32.00000	6.55978;112.84189	7.43388;87.61268	5.81447;56.31525	6.31238;32.75537	8.11945;19.39362	10.23248;359.76675	11.59858;9.02220	14.78980;1.14847	17.80399;350.59321	14.55625;352.19452	5.37624;305.70143	22.09927;331.49854	23.40145;327.11779	12.49121;336.14343	10.19458;332.33559	7.28318;340.41407	5.40057;57.22512	9.52872;54.16340	9.67411;38.01433	10.04556;19.74630	12.96157;24.92397	16.69993;20.11815	21.00856;10.40537	22.48764;2.21489	19.44762;357.74933	11.09690;29.53325	8.63038;75.37533	9.33235;124.59703	7.40472;139.57816	4.73064;138.29803	1.48671;161.42765	1.54207;69.60964	1.34190;1.77892	3.11103;298.53789	5.79009;284.01572	9.04781;285.51423	12.20378;283.40983	10.82943;279.97057	13.63826;278.39226	22.88352;237.53030	25.86440;224.34230	25.59404;223.88297	24.69060;222.79863	24.88651;222.60694	25.51426;221.60889	25.37829;222.80241	24.89760;219.85941	23.82006;218.45608	22.93427;219.47665	22.80964;220.93283	22.66133;222.73356	21.72514;223.32139	20.07388;221.75380	18.53020;219.94871	18.24498;220.34175	17.75383;222.19098	16.27783;218.64912	
31.00000	6.89309;104.70244	8.03521;63.08782	9.74707;30.71292	10.50184;14.43750	11.25194;8.75835	9.60452;354.47056	12.54028;12.22440	17.24592;4.47672	20.29519;352.86954	22.54287;343.50897	23.10109;328.56495	23.63565;321.26660	19.07034;327.84728	18.59345;324.20956	14.34463;311.34661	7.13025;313.22147	8.69556;56.28507	9.98039;45.26040	9.60848;24.13314	13.15425;33.11473	16.36127;27.38094	20.34577;15.41980	24.99295;4.92573	26.68917;359.78538	15.72756;0.88026	16.04968;263.28331	15.45821;242.20723	9.27377;158.63570	7.72978;152.27501	3.78059;198.06790	3.79659;229.40189	2.88515;242.45433	2.03976;312.79488	5.07775;306.64179	5.80399;284.01111	6.50053;323.69550	11.27562;298.78310	22.12514;233.42710	23.83264;223.92269	23.24704;224.90853	23.10413;222.65762	22.22208;221.43251	21.65433;220.46741	21.75958;219.27932	22.66064;218.04267	22.50982;216.69672	21.42288;216.33545	20.60013;216.98776	19.80024;218.61501	18.90580;219.98660	18.12651;220.61196	17.99559;222.04472	17.68271;222.16184	16.47884;222.14094	14.60985;217.95856	13.34000;211.02389	12.58870;210.32649	
30.00000	1.06982;65.29757	7.87365;55.84699	9.03001;18.70797	12.11326;3.64436	13.50634;346.84778	14.48281;338.53846	15.46114;338.27617	17.62533;341.76687	20.52098;346.15067	22.32511;339.81998	23.34472;328.41031	27.02783;316.10731	24.76241;307.25131	17.68727;316.76349	18.30867;315.30110	14.57811;319.72685	11.87034;317.15007	4.65943;342.89551	9.00541;21.51434	17.23838;37.63359	20.00250;25.56149	22.65239;16.73221	22.78207;0.24791	18.84367;337.49834	25.28677;263.30766	23.18680;258.05420	19.39201;250.74411	16.83027;241.96099	11.86715;240.24348	8.18349;238.51108	7.35192;222.57838	5.24089;213.93172	2.12856;65.40795	8.55568;350.98068	16.15303;242.74114	24.44828;221.96419	21.83886;222.81778	22.04818;224.13915	22.01825;224.88912	21.23800;223.99504	20.37120;222.19609	19.03699;221.69281	18.80499;219.35816	20.07219;212.84824	20.19531;211.94459	19.18068;212.52241	17.97920;212.94440	17.60512;214.95522	17.13238;217.98160	15.17395;219.84974	13.77806;216.65973	14.92040;213.89917	15.06077;220.95983	13.72363;215.24333	13.92641;212.22155	12.10594;202.87605	10.95240;203.42558	
29.00000	2.82500;74.43368	6.87921;211.66902	3.55125;311.56061	9.83342;338.41522	14.91600;332.29954	17.83459;325.00389	20.36338;320.45353	22.38117;317.91477	23.91544;314.06804	25.78187;315.87671	24.37561;319.30752	22.18681;315.82353	25.37223;313.29570	24.67095;316.20353	22.04000;317.46627	20.32540;312.95376	16.20165;305.22123	12.51857;312.80393	9.88910;342.95772	11.40127;14.63567	16.13881;26.61134	18.74608;351.79092	22.89549;289.24872	25.87734;272.47854	25.05695;269.54262	22.53697;267.18202	18.23952;260.85690	14.69011;247.50027	13.44872;241.32345	12.56464;253.63697	4.04623;297.81828	9.64237;315.38387	21.90925;228.06040	21.03611;218.59614	20.43314;224.10579	19.42557;221.53974	18.61551;221.70260	18.76680;221.36346	18.83732;221.28493	18.14005;221.23329	17.15030;222.54715	17.69218;220.55760	18.87495;209.93151	18.32104;207.19850	16.95339;208.66027	15.58567;209.44884	14.58970;208.09808	15.30666;210.00661	15.30064;218.77008	14.15833;220.72416	10.96852;213.61685	8.97298;211.21068	12.89690;201.16957	15.00909;203.77639	14.19409;203.87963	12.11420;202.54066	9.35197;203.26114	
28.00000	3.09316;193.07558	1.41896;172.01531	5.78387;7.93376	9.24283;340.34942	13.13695;324.22382	17.05147;319.51702	19.54365;319.22687	20.92211;318.74797	21.59430;316.38598	22.91127;311.19553	24.80122;314.48241	24.18211;317.39110	23.37505;316.66121	25.93895;322.52382	24.88347;316.13943	21.48251;312.73020	17.91904;310.87837	16.20405;307.87619	17.73834;301.64000	20.93873;294.57602	22.93919;288.82032	23.45333;283.94180	24.69159;279.45194	24.30405;276.60891	22.47210;274.80612	21.75286;273.48014	17.19954;267.68700	13.92568;258.45323	9.80469;267.72755	9.43183;301.88522	21.40213;244.75927	20.60960;224.27777	18.79847;226.62988	17.87093;221.32663	17.64003;219.15480	17.51219;217.44102	16.23816;215.04652	16.47290;214.90340	15.70872;217.09394	14.84525;217.62165	15.78102;217.09009	18.68215;204.93586	17.63949;205.13895	15.87399;205.46365	14.60349;205.70894	13.19117;205.83251	12.54567;203.89218	12.52247;208.80495	12.41418;216.96141	11.50528;217.82829	8.86428;217.78462	8.39949;209.19885	13.41697;188.90962	13.34556;188.45112	11.96042;186.02377	8.51797;181.74188	5.94400;173.80465	
27.00000	2.78703;169.55218	5.38857;81.00116	10.08647;16.66434	9.68119;352.00282	11.42846;339.11432	13.95805;334.77679	16.51615;333.27512	17.58069;330.43899	19.57605;328.85281	21.98064;326.86504	23.38079;326.32711	23.50197;325.97083	22.89119;325.13991	22.93959;327.59062	23.91975;319.44921	21.82961;309.32674	20.32535;304.67644	18.59886;300.99354	19.54732;297.98702	20.74111;294.66038	21.07378;289.96098	21.84530;286.59670	21.77574;285.01378	20.57034;283.49784	20.43084;283.96220	19.18345;278.03240	16.55041;272.94810	11.40000;284.45565	12.47082;286.85322	19.55291;233.69288	20.18552;227.64614	18.59706;228.94140	16.87795;223.89408	16.09698;218.12925	15.64089;216.32160	14.92186;214.51813	14.47244;210.01215	13.66787;212.81993	12.24627;215.21628	12.07017;212.55116	15.54265;201.03494	15.46376;199.75605	13.79632;200.79698	12.75025;198.12005	11.97779;199.81707	11.17591;203.21168	10.49198;202.93097	10.26266;209.94006	9.57083;217.15849	9.52930;216.51459	7.70053;222.72901	12.26559;189.52353	13.07695;175.43270	10.62699;170.18654	8.31201;161.32777	6.55076;144.01763	5.74701;140.76513	
26.00000	12.48204;88.83996	10.70253;50.06918	10.99594;23.96866	10.05389;16.66211	11.37241;9.09008	13.23334;3.23016	15.37354;357.99720	17.17458;352.86774	19.58284;347.61924	21.65545;343.46824	21.34187;341.80104	21.78362;335.16380	21.24569;337.12286	20.92704;333.56347	20.65263;324.13320	19.76801;316.64158	19.82142;309.48471	19.88141;305.09941	18.87824;301.98975	19.32705;296.96193	20.55200;295.20776	19.79833;295.07807	18.61043;294.88674	18.60467;295.25848	17.78841;289.82103	16.14317;286.20032	14.31477;282.41319	13.75286;273.86417	18.22298;236.75066	18.31139;227.82246	17.69132;227.02587	16.63874;222.88381	15.49263;218.91915	13.93998;218.72220	12.71062;218.39296	12.97917;212.16911	12.73310;206.93275	11.27058;214.33141	10.13957;214.78685	11.19344;201.35612	12.30201;192.81751	12.36796;188.66524	11.99590;185.76602	11.64191;184.33304	11.60593;187.46496	10.92648;192.81737	9.18323;198.00157	7.64145;206.95614	7.70230;214.79301	6.24901;209.17232	10.24302;204.91639	11.98650;172.52601	10.03473;156.83201	7.61897;144.62716	6.29705;129.60176	6.05011;117.80827	6.86882;110.02467	
25.00000	18.25072;62.26135	8.81495;36.88759	12.75433;31.13897	13.10246;28.67152	13.97435;26.81455	15.33065;20.79497	16.73223;16.78659	18.11680;10.63476	19.74504;4.23431	20.52074;356.76899	19.97938;351.67596	20.02151;348.97917	20.63803;342.75801	19.96082;332.06241	19.53215;322.76517	19.83141;319.26896	18.64546;316.03487	17.16971;310.32549	17.97901;306.84264	18.71705;303.97558	18.00690;301.90573	17.06928;303.58873	16.74622;305.57556	16.31779;301.21893	15.72747;299.10894	14.56973;290.55783	13.67604;281.01287	17.64968;241.82618	17.30856;232.66680	15.25033;223.63656	14.70635;216.87596	13.67445;218.88368	12.19220;219.54007	11.17691;218.17737	11.17148;212.37103	10.87361;205.06701	9.83698;205.88148	9.41348;210.35097	9.05581;206.91706	9.55840;191.41505	9.80626;178.99402	9.95621;171.91451	9.81880;167.42198	9.79770;162.68666	9.56683;162.01051	8.25914;165.20496	6.69923;173.92051	5.22805;185.30996	4.61490;197.11302	5.50178;207.95936	9.80802;179.05905	10.37904;148.96263	7.83877;132.16569	6.40503;115.25850	6.40703;107.41355	6.03204;102.55024	7.63179;106.72720	
24.00000	6.35257;122.37707	15.92410;26.63074	14.97708;35.82727	15.57739;38.35721	16.90567;36.30201	17.37191;32.85965	18.34889;28.17496	19.37312;20.17319	20.53837;12.38412	20.42848;6.09034	19.36421;2.90578	19.00216;354.40605	18.57567;348.67243	19.55322;340.09330	19.74646;333.42234	17.73279;326.70362	17.55101;321.91798	18.21502;318.45227	17.67065;315.03565	17.24105;314.51124	16.10618;315.66990	15.59970;315.42912	15.12353;313.68764	14.26084;310.41155	13.70677;304.71777	12.11697;296.05533	15.18748;245.01589	15.50324;234.93500	13.60805;224.53701	12.39487;216.60213	10.73562;219.01787	9.48327;219.98602	8.94521;220.29339	8.52043;213.95109	8.36351;201.83108	8.29143;193.93199	8.03934;195.46775	7.62909;200.50820	7.83176;187.87610	8.01754;174.41519	9.28021;157.38290	10.05135;148.95073	10.61275;148.90126	10.30008;146.07901	10.14895;141.51672	8.87227;138.89083	7.44467;140.42429	6.13023;128.35621	3.46134;104.87442	7.07999;167.43280	10.01370;145.72691	8.36348;124.35489	7.52801;105.93117	6.99342;102.08452	6.90641;106.25130	6.36713;105.52636	8.71137;80.49564	
23.00000	4.32605;38.98147	17.48167;43.65291	17.01113;45.79167	17.74923;44.22794	18.35013;38.82948	19.16407;35.82142	19.87557;30.52265	20.10801;24.80609	19.97670;18.14228	19.13734;11.97078	18.62039;5.04816	19.09064;357.98453	19.03803;351.76400	18.32284;347.59448	17.61758;341.20521	17.95481;335.12738	17.83113;329.82359	17.53777;326.39095	16.35037;326.89560	15.53300;327.42762	14.99493;327.54191	14.49677;320.68627	14.31345;316.68938	13.98006;316.38592	12.34304;294.95475	13.10071;244.93688	12.77868;236.72329	11.51326;226.34081	10.71496;229.63546	8.59643;227.33675	7.42251;225.40319	6.75946;221.58428	6.87232;205.94899	7.05464;195.03413	7.35769;179.53513	7.22133;173.62489	6.21586;170.40689	5.52062;161.41832	6.60326;146.53915	7.73531;139.54551	10.55667;137.32818	11.37358;133.07470	11.32313;129.49702	11.68016;126.21385	11.62247;127.22446	11.19642;122.12559	8.83917;118.68990	7.06096;123.50196	7.65333;135.26754	8.82598;128.42726	8.52571;110.47195	8.87023;99.47388	8.43968;96.12028	7.28394;85.57209	7.43903;80.18915	10.30085;72.57374	12.16302;87.25191	
