Grib  N° 216
Zone : Lon: 121, Lat: -48 X Lon: 178, Lat: 41
Cases en longitudes: 57 pas de 1.01786°;
Cases en latitudes: 90 pas de 1°

Données TWS, TWD de la fenêtre 0

Date: 2017/04/02 12:00:00 UTC
LATITUDE\LONGITUDE	121.00000	122.01786	123.03572	124.05358	125.07144	126.08930	127.10716	128.12502	129.14288	130.16074	131.17860	132.19646	133.21432	134.23218	135.25004	136.26790	137.28576	138.30362	139.32148	140.33934	141.35720	142.37506	143.39292	144.41078	145.42864	146.44650	147.46436	148.48222	149.50008	150.51794	151.53580	152.55366	153.57152	154.58938	155.60724	156.62510	157.64296	158.66082	159.67868	160.69654	161.71440	162.73226	163.75012	164.76798	165.78584	166.80370	167.82156	168.83942	169.85728	170.87514	171.89300	172.91086	173.92872	174.94658	175.96444	176.98230	178.00016	
-5.00000	7.37086;148.69937	4.66973;230.96399	4.10465;297.32469	10.03768;331.63837	10.86072;325.30874	11.37677;302.53877	12.04705;287.76545	10.88359;301.67454	13.30664;299.02127	6.48502;306.00086	6.62956;4.50526	11.98929;331.94336	15.99185;318.24211	13.52802;318.17434	13.83156;312.09494	1.31007;0.75911	1.63583;20.15761	2.22695;316.89231	1.53153;294.47344	0.89337;343.51689	0.15100;237.76867	0.36551;54.19666	0.85093;52.63012	0.44028;31.99198	1.03651;83.69386	1.24431;3.55032	5.65251;312.35189	8.13290;303.29886	7.37711;280.62893	1.25903;213.91579	0.55483;294.70644	10.75605;333.29140	7.09565;336.32119	10.10994;328.13124	10.32314;335.40872	10.09504;342.94675	9.80538;340.19642	9.26148;337.09985	8.12898;341.98965	6.87041;352.35179	8.60296;17.36638	9.21230;30.43919	8.54198;19.19775	8.27790;16.50723	8.07931;14.93231	9.19337;7.02224	9.18675;359.68831	10.17363;8.59410	9.23237;9.38260	8.75190;11.10903	7.30750;15.75907	6.35646;13.47699	6.33326;9.43862	6.31828;6.09998	6.60736;4.42236	7.55585;3.20174	9.02019;359.25915	
-6.00000	18.09752;252.10997	16.65658;259.63296	14.61330;269.19973	14.16346;276.80374	10.99346;289.83510	12.41771;293.00898	12.87553;289.70154	12.52730;292.00778	13.25759;309.08489	9.51718;317.19338	8.47046;317.64140	13.04997;301.37212	13.17188;303.18586	9.50150;314.20428	14.19955;304.57114	12.35137;309.72591	7.45467;306.72050	3.21910;311.25427	2.96746;284.49503	2.58801;310.92197	3.41344;245.74399	1.37143;242.79936	1.41937;172.29802	1.47356;7.99222	0.52171;27.25245	0.69196;141.97114	0.75734;264.63475	5.11836;77.03621	1.74221;35.46336	2.49100;326.04828	7.58849;235.80517	4.48060;267.60234	8.57142;315.03675	9.61209;353.28861	7.27441;311.58777	9.75671;334.35899	10.15311;328.78416	9.87353;325.71863	8.39720;331.02011	7.36315;330.50465	6.69155;352.12929	8.96560;21.74835	7.74834;13.86193	7.67020;5.75538	7.52647;1.81894	7.42165;352.34486	7.99503;341.08929	7.67873;351.22109	9.47708;350.67485	9.84237;355.83779	8.30842;356.44541	7.42492;351.42399	7.48071;345.99409	7.70169;341.21293	7.95114;334.76309	9.04837;338.97574	9.05692;331.12456	
-7.00000	10.86666;276.88348	10.67768;283.64665	11.96124;280.36398	13.80432;285.83679	11.60984;285.72797	11.90761;289.14482	9.30847;289.60795	8.16873;299.43202	10.47595;318.78407	10.24154;314.74624	9.63226;318.96853	11.05664;300.61825	9.53387;294.10364	11.22143;307.54681	10.68387;296.58836	10.90307;307.04355	8.07521;304.90276	6.27566;287.20581	3.17979;231.82704	2.55726;211.88997	5.70878;196.96833	2.83816;179.41137	1.76705;76.41013	0.83550;99.51755	1.01955;59.38657	0.42021;67.97465	1.37468;355.48180	5.96022;36.80636	2.04769;160.01689	3.46917;223.43344	6.07138;202.67349	7.30350;234.34710	5.43445;289.39934	9.00590;312.33192	7.99991;311.44393	7.39794;343.38872	12.42553;322.62815	11.05199;329.40263	10.18477;328.19979	9.88500;329.13286	9.60170;339.70869	8.32151;4.79032	8.92071;9.59574	7.01341;359.88090	5.88031;351.38963	5.99509;341.10799	7.22567;328.10572	9.08725;331.98230	10.30689;328.04845	9.31245;339.31797	9.87888;350.47021	9.36984;341.49363	9.05994;335.67304	8.84871;328.10802	9.18357;321.53149	10.20887;315.51686	10.92866;326.90350	
-8.00000	4.52920;296.23514	2.60909;87.54475	2.88097;354.80102	4.05196;335.11678	3.55629;297.28216	2.44613;348.24360	7.43192;334.99669	7.77990;337.21495	8.93502;333.03916	8.01155;335.95988	6.61580;337.92662	4.20767;331.04309	3.46383;308.52925	5.14879;297.52279	5.97596;283.44862	7.29568;302.39860	7.79596;314.02008	1.74291;279.39719	2.67615;229.95891	2.31491;212.71326	2.66746;196.01537	2.57736;212.76119	2.34313;145.04030	11.49171;147.82614	7.35423;135.74962	1.25293;11.59932	1.39680;299.34038	4.38062;10.19547	1.01024;78.90628	3.63374;173.40798	5.02273;199.81014	5.13333;206.75911	4.73881;197.10670	4.26672;276.70023	8.92868;295.78405	6.46954;352.53334	5.93505;324.31617	9.21131;342.52480	9.54010;315.84204	9.19299;318.46305	8.91607;330.09244	8.73062;356.28903	7.55019;352.97561	7.36629;354.80845	6.79039;340.55360	6.63327;320.70823	6.61723;303.64339	6.25609;297.29753	6.75271;301.15044	8.57637;312.17061	8.29697;332.49841	10.07224;327.82818	9.96406;328.83113	10.04751;321.35404	10.63788;315.59966	8.98655;304.23661	9.11978;292.95806	
-9.00000	4.71618;143.88581	12.61948;146.01375	11.86820;142.53325	8.73119;98.27027	2.48929;149.20121	3.51853;25.77513	8.16716;47.32453	3.97937;8.99300	3.11907;2.55142	2.31841;41.68620	3.82137;47.26755	2.37088;42.17541	3.33589;25.65124	3.24535;32.05558	2.24741;45.52563	3.36058;18.86150	5.93834;345.67809	3.68948;306.53784	4.30483;190.98774	6.19447;183.11560	2.48110;178.58900	2.71209;143.87752	7.48421;146.05404	10.71943;146.32146	9.27028;154.18180	7.60240;133.45632	3.08650;48.21663	0.96778;319.62713	0.33045;331.92751	1.59432;316.87245	4.30332;140.94004	3.33713;160.47055	1.52614;182.60694	2.85142;279.91182	6.15190;259.82097	6.19597;320.09086	5.31782;307.99254	10.23512;336.92143	4.47586;349.63439	5.13451;340.37623	6.79246;321.79857	7.99594;337.48728	7.38536;346.21978	6.46986;339.03294	5.87701;326.22058	6.42364;306.74506	5.86219;288.37547	6.34016;291.34146	5.10449;306.20223	4.49651;288.39579	7.40485;314.41504	7.67667;305.22735	7.65596;308.48487	7.66926;285.87159	7.98165;270.42852	7.52447;281.36654	8.32497;279.00045	
-10.00000	14.22263;158.76571	15.27172;152.45647	13.18954;130.96033	3.68359;90.08638	12.60503;104.43055	14.45834;95.40016	10.79271;92.92785	4.72356;90.17684	2.35647;32.18374	3.45925;62.88492	4.11383;62.54623	4.79980;68.15981	5.32134;59.80081	5.41599;44.27294	4.73913;37.08141	4.57302;48.98132	3.67025;38.67876	2.13577;17.12880	1.05698;140.22276	3.87380;190.73198	4.33675;179.77988	6.36970;136.75593	9.12522;134.05062	9.87684;132.91845	11.56123;134.61172	12.55270;129.80444	12.57848;118.40270	2.51873;91.94289	0.75810;337.38014	5.60468;141.54812	5.69936;126.79173	5.62930;120.66517	5.14253;118.26995	4.48517;107.87428	1.14254;77.08210	0.86311;15.67952	2.59732;313.00751	4.82354;340.98237	1.92176;23.00682	2.14038;326.86990	3.80738;350.89355	5.80015;335.67682	4.87018;349.07129	4.56493;323.22281	4.50219;296.70887	6.32359;286.75660	5.51597;297.01655	6.38730;280.48919	6.13696;288.38387	7.37716;288.83121	5.27717;291.32132	4.05949;306.11814	5.97039;306.59381	5.40287;295.48639	5.48744;279.15802	5.23274;262.19227	6.70784;250.35734	
-11.00000	6.70967;169.14582	10.49737;166.09242	13.09867;125.42599	12.16518;111.71981	12.83832;113.34326	14.33701;110.08598	15.71552;106.52072	14.78489;116.10688	11.80567;109.38666	12.17959;93.92873	8.65116;73.35255	9.35382;63.48820	9.09020;73.20805	7.12517;53.56465	5.81832;42.83382	5.38440;34.12607	4.95219;27.44011	3.30916;26.31218	1.45423;39.77223	0.79553;172.88228	0.83266;197.47052	4.58612;125.94703	12.32835;111.91381	15.39762;111.91155	15.26216;123.84591	17.36221;132.34100	16.41368;132.59548	14.65504;130.55678	9.18238;124.56474	5.36731;104.84654	6.80657;122.90039	6.27808;131.71162	6.63635;123.19202	7.45869;110.63120	5.92865;100.28015	3.12244;106.26877	0.21776;113.28791	0.68751;323.79755	1.79612;70.44336	1.73366;84.32393	1.96480;3.40308	5.69490;343.70350	2.03921;64.90062	2.36566;299.42546	3.71246;253.79788	6.34503;250.13837	4.38357;259.04385	5.25443;282.40535	6.73448;291.78913	6.83157;279.91260	5.49733;281.73110	4.33405;305.50781	4.30725;310.73592	4.76620;305.90711	3.34821;279.66903	4.79654;258.61493	6.28956;255.31953	
-12.00000	7.85890;152.92792	11.21973;125.55153	13.88892;115.96256	13.37361;110.97712	14.78352;108.29201	16.14315;107.57751	16.10538;108.08506	12.28059;103.42695	7.03022;119.42852	7.40842;82.31595	5.88668;41.13075	7.05594;47.86965	3.85595;84.95907	10.51625;90.17400	11.47840;180.00000	7.13234;88.01958	4.78388;57.64666	3.75683;44.26629	3.62517;66.02160	4.34358;62.00142	11.24465;87.67871	4.66820;109.26865	14.73317;116.43320	18.51358;119.97843	17.82468;126.94113	16.06489;134.34799	15.04311;137.83339	14.23202;141.33775	13.87531;133.24023	9.94055;119.94917	8.67479;124.13162	7.82228;126.13519	6.97873;122.34879	7.71257;129.05673	8.12073;126.22803	5.47011;124.10795	3.29458;37.42431	3.29585;70.67487	3.18265;65.67971	1.32302;68.48622	4.52583;71.57984	5.08774;82.33954	3.08027;101.09720	0.95120;173.71502	2.75578;218.07596	4.65408;225.06769	2.63695;205.04624	3.30623;262.16717	4.73768;273.39421	5.63656;266.73797	5.90614;296.42169	6.29539;317.42761	5.03631;332.15906	4.11414;311.62904	4.46327;283.67675	5.48961;251.94230	6.40694;243.12398	
-13.00000	8.89612;136.50511	9.52420;115.01689	9.65902;109.94469	13.31769;98.32607	15.20002;96.05108	16.80724;105.24814	14.69930;110.95156	9.11512;136.24424	8.26588;122.75951	7.88493;125.38661	4.96161;133.84122	4.80123;133.58922	6.05819;126.84784	5.85373;142.93603	3.69914;126.99033	5.13725;95.86376	10.34666;92.89251	7.96570;82.62387	7.36498;83.70106	9.58723;89.63906	14.03313;80.43982	4.08237;107.31334	10.95869;121.36115	19.12191;120.95577	18.59087;127.90756	17.54183;135.81262	16.39054;140.53896	15.36896;142.87502	14.61546;148.48735	14.00768;142.40814	10.06360;139.50434	7.80717;129.41287	6.01393;128.02929	6.85829;111.79538	6.92031;114.40533	6.99166;132.54372	9.11520;114.70687	8.84244;95.88104	7.44896;93.94436	7.19907;85.89057	8.11767;81.85864	8.00201;84.40851	5.09129;101.67460	3.52808;129.27608	2.58121;177.90383	2.89880;237.73478	1.46915;249.64448	2.21555;272.11883	3.27388;272.18761	5.02679;285.24540	4.94399;307.00957	7.89260;347.62731	5.64207;6.98350	4.05236;337.93320	2.76291;290.07575	3.50055;253.31295	4.26535;237.46873	
-14.00000	7.58618;118.79793	8.61049;96.16493	7.21476;80.07071	7.09172;59.14667	9.29147;61.63349	13.74297;96.81783	6.20645;114.77514	12.50934;131.60470	10.52386;122.02558	4.55953;125.01803	4.10197;134.15522	4.30287;109.23630	5.24147;95.04457	4.78806;98.52156	3.94803;128.70386	9.24746;114.00040	10.64135;97.30105	9.78595;97.77890	9.37970;104.38759	10.33275;90.87775	10.26177;75.32936	4.34691;82.09636	5.74295;114.75211	20.67180;120.47866	20.76097;127.55551	18.79019;133.90184	17.27071;137.98355	15.43499;139.55602	14.20885;144.35298	15.55194;145.93851	12.56510;141.91745	11.28915;141.76852	8.32537;125.33396	8.36247;122.20867	9.21807;103.61134	7.97713;121.87367	9.86349;110.13842	9.56687;102.38991	8.26985;94.54466	6.74629;83.75552	9.01416;85.05167	7.18506;90.74731	5.97949;97.47156	5.74100;102.08229	6.57262;122.58556	5.65413;124.29649	3.81191;118.52278	4.42802;129.37081	2.48030;151.00035	0.78217;261.06439	1.75655;327.00457	7.42447;4.03709	6.18657;28.11908	3.03928;22.54996	0.37778;16.43945	2.62132;222.00932	4.21975;208.92643	
-15.00000	8.74622;104.80838	6.92747;97.53780	2.83711;142.24759	6.00597;264.40196	3.90773;202.52121	4.80952;134.59063	5.92826;140.52157	6.40494;145.94822	6.84201;155.77968	4.93569;119.12912	5.12552;133.67850	5.03659;143.91735	4.68104;122.98397	4.95154;61.94604	7.02942;91.50535	12.32590;98.33596	10.66371;97.49629	9.05446;95.04108	8.65700;111.93997	9.97806;116.79467	11.00630;85.67402	4.67701;71.90015	6.08219;82.90633	5.45132;120.23144	18.97315;126.72784	20.01962;128.91872	18.41959;132.69059	15.47315;132.32695	14.34511;137.03169	17.08958;141.67403	16.23322;138.67015	14.44493;139.88543	11.79278;145.78867	10.12932;129.79149	11.09459;111.31860	10.45971;120.94550	10.28853;121.29050	9.01367;111.24155	8.32740;102.08766	10.71043;101.09172	10.43441;97.66200	8.44634;95.52297	6.74800;98.86537	5.75752;114.32389	2.65699;134.27973	2.82583;114.00491	8.21904;112.51354	8.45745;112.07285	7.09052;120.09362	6.80779;108.30561	7.53828;74.94962	5.97131;44.28780	8.12927;61.89689	3.18323;70.53493	2.71087;105.32574	2.61759;174.32328	3.52614;143.06693	
-16.00000	7.67760;59.40942	4.90025;47.74924	1.65772;280.47190	15.47936;129.14412	5.11829;106.54918	4.86709;111.66331	5.37190;118.74449	6.25643;138.75379	5.52538;139.02266	6.50765;142.21958	5.88186;135.62930	5.77223;138.64527	5.51848;142.22591	5.35006;149.52179	3.79016;72.54080	4.26737;76.53726	9.70278;80.99360	8.34719;74.00879	5.87487;95.57477	0.33227;182.99431	3.13611;36.07437	5.12114;30.06858	5.41039;56.87516	5.16028;105.01831	12.65686;143.63168	19.58168;127.30330	19.46230;126.20492	16.47369;127.55004	15.16843;136.81748	16.78477;142.24490	17.29405;143.27565	18.13278;140.38474	16.36594;141.51024	12.47020;139.62151	11.28853;130.92234	10.92733;119.72086	11.34638;117.59670	9.75781;120.21207	10.29522;107.68574	11.84232;99.76227	11.61206;102.72647	11.52999;108.68237	10.76473;109.35108	9.66542;113.08965	9.31847;110.84701	7.81232;90.10183	8.84246;105.19105	9.10038;112.12185	9.91505;109.06369	10.84154;97.85770	9.22680;88.07677	7.81950;82.57854	6.53700;77.56230	4.36862;82.66059	6.31411;110.37644	6.74848;116.60933	8.48908;71.85547	
-17.00000	0.91753;143.61565	1.16524;201.27426	6.44622;127.07032	6.42194;114.59466	5.84414;109.95380	6.12937;109.68194	6.76795;125.54342	6.76664;146.03147	6.93534;146.46582	7.38369;143.84509	8.32004;134.64977	9.01318;137.32483	9.11346;146.06928	8.01027;148.69764	8.73309;159.74995	6.67592;146.99012	3.23501;94.08660	3.21827;87.46561	5.21960;20.26385	5.75090;307.37730	2.75066;309.04554	3.26253;65.72556	7.20530;87.80299	7.85078;97.30590	3.02673;138.87984	16.84144;126.49559	17.89194;127.41146	17.02759;130.32816	16.64068;129.45423	16.41312;139.75567	17.22775;144.87716	16.70367;145.52582	17.20743;143.57671	15.84671;139.46731	13.27680;136.71450	11.38112;128.69037	11.24943;123.53355	10.67036;122.87947	10.84824;113.39541	10.68793;97.68210	12.64951;103.18204	12.06448;110.14006	11.23798;115.45695	10.47522;112.32462	10.33311;109.52912	11.02498;103.45801	9.92758;99.30408	9.75709;102.09795	10.25501;105.77235	11.11606;105.25863	10.21818;102.70378	8.10538;98.49679	8.54657;102.65051	5.65750;94.62337	6.36777;54.95640	14.82764;101.53237	13.63002;104.45243	
-18.00000	10.15121;197.15113	13.55896;112.76393	8.29266;130.08415	7.92202;134.21463	7.34394;131.00759	7.52216;126.11772	7.89677;115.75137	7.76045;133.47761	8.25507;136.76518	9.03972;140.80335	9.30443;139.85572	9.36087;131.15235	10.16838;139.30248	9.73789;144.27619	8.99763;153.01977	8.57791;152.88913	7.85024;167.57983	4.46665;145.42470	1.31139;296.94487	3.26805;280.51456	3.19441;264.96245	3.76163;69.03158	9.11416;79.68827	9.77968;91.65609	3.55664;101.80431	14.54510;122.69612	17.21824;126.18811	16.74644;129.67358	15.51817;134.94925	14.88676;138.78522	14.83018;140.48867	15.00975;143.39871	15.48510;145.70151	15.37789;145.26133	15.77447;143.61445	13.84177;133.75958	10.67177;125.47338	10.55224;121.69324	10.22657;120.58647	11.15170;109.43616	11.39089;107.26303	11.86535;110.43300	11.16862;115.40547	9.76778;114.51473	10.23138;107.09232	9.82311;104.56697	9.39082;103.47820	9.61834;102.10931	10.34076;100.77236	11.40624;102.66967	11.27567;110.36876	10.60671;116.92664	9.86049;111.58328	11.31285;114.61424	9.28526;78.38896	7.40539;78.04264	3.03794;60.48248	
-19.00000	18.59057;114.39437	8.96378;113.34053	8.39102;110.47526	8.11338;116.32563	8.29716;122.22308	7.80641;121.69536	8.25015;111.27497	7.28190;105.20482	7.87723;119.03812	7.89922;125.79828	8.92686;131.88428	9.54895;130.74045	10.39655;129.04293	11.37324;141.26525	11.81062;151.11484	11.67791;154.91512	10.54768;159.69483	9.12626;148.94416	10.19917;162.24534	9.63088;166.17411	9.06649;160.14703	7.24225;153.42119	8.41904;84.47369	7.32429;80.94666	6.64443;66.26217	9.60101;121.15076	16.57118;120.68943	17.40684;126.43993	17.00357;134.39788	13.75513;136.47731	12.11423;138.71462	11.93585;139.49789	12.54754;142.48390	13.39774;145.17551	13.49446;146.03982	14.18700;145.85051	13.05538;140.77662	10.50881;124.89825	10.00653;114.31960	10.05883;109.02669	10.06863;109.28848	9.33668;108.27275	8.61717;113.67378	8.63301;114.97247	8.49824;113.01102	7.85354;113.46860	7.52157;103.34167	8.46149;87.88431	10.17696;97.55776	11.14869;100.07164	11.54131;110.06473	11.17597;116.77452	12.27607;112.98416	13.32526;107.52305	14.24661;90.27917	16.45257;76.32496	15.41852;85.73426	
-20.00000	8.22428;105.35014	8.18394;111.13424	9.31349;123.42142	9.89538;120.12600	10.27096;116.44382	10.36698;119.07860	10.91953;129.74942	9.88040;124.67804	9.16861;121.09500	9.46953;127.72851	11.99195;121.18037	14.88317;127.24556	13.73180;135.48175	13.34310;136.31630	12.06415;151.51479	13.90162;149.89639	14.37472;155.49705	12.47542;149.92735	9.36919;158.03303	8.57308;159.90923	9.04595;165.57855	8.39169;154.66961	7.65440;91.71574	7.55638;68.74873	5.12581;53.72981	5.08975;60.86038	3.59162;113.99586	14.67651;138.29651	20.42562;135.38556	21.86926;136.38296	18.19172;132.76130	12.62288;133.00314	10.77916;136.35906	10.64263;142.59220	10.82369;145.95890	10.98048;148.12471	11.87346;147.99859	11.61887;141.95099	9.73655;129.24756	9.40597;111.82560	8.60449;116.42612	7.42432;126.93290	6.34837;151.86559	5.61788;123.21170	5.90626;116.16869	5.26430;107.34771	8.34137;90.51499	9.87504;81.78265	11.34608;87.20818	12.19372;95.87873	11.59511;105.78839	12.04914;114.33227	13.46796;105.39220	13.92829;102.44381	13.56460;94.87397	15.35637;90.03367	15.90369;88.87944	
-21.00000	10.65854;123.54516	10.52838;119.52314	11.60501;119.42467	12.31151;124.46286	12.50828;126.74880	11.97639;127.31628	10.05878;127.65163	9.24361;124.15791	8.93626;121.96839	9.59726;113.11173	13.26268;111.13398	14.15117;122.64443	13.82160;130.67122	16.18600;137.34584	16.68888;147.80008	14.41323;153.48678	15.18521;155.27865	13.41835;157.64063	10.92286;154.67080	10.09154;162.67494	9.49952;157.99612	12.07420;150.57090	9.08112;138.96637	9.25201;82.14603	5.90943;79.90435	6.36650;52.97966	4.49260;84.11180	3.38270;126.65918	17.09545;131.95816	20.71148;136.00389	24.41953;138.89559	22.15135;134.40626	18.03228;135.74247	12.00152;143.48274	8.34803;151.24473	7.22941;147.79702	7.42165;150.89730	8.51034;150.75346	8.79023;145.50518	7.88055;130.66874	7.11168;124.72388	7.67170;137.52612	8.24312;139.92629	3.73823;125.83899	5.66558;127.12152	7.36176;91.45357	9.00507;84.33740	9.40371;77.28235	11.10728;80.76418	11.43162;87.90487	11.30755;97.06027	12.27293;102.07701	13.50870;100.50469	13.65516;99.91018	14.70447;96.50045	14.59495;97.26586	15.59721;91.78545	
-22.00000	10.50583;112.86451	10.88987;124.98364	11.65356;120.49171	11.95353;125.32864	10.49020;129.83548	9.07030;123.87737	10.32491;118.67847	10.82794;130.19408	10.39601;128.64642	12.08635;114.25253	16.45092;119.51228	14.36897;128.00007	13.68415;134.32664	14.38146;134.95072	14.49715;147.42864	15.81493;154.15304	14.56335;159.99533	13.99806;163.28628	11.61983;162.46529	11.19120;161.47693	10.13295;155.59334	9.70150;140.12094	9.37477;143.86432	8.86037;138.80698	6.42218;77.94521	5.24629;98.82154	4.72670;88.70394	3.35048;77.68933	9.68417;128.48020	19.20285;128.18426	23.18784;136.52173	25.13200;146.48938	23.58320;148.55029	20.97890;148.35702	15.71612;146.12911	7.26609;150.86351	2.93657;153.67241	3.16118;162.97679	4.54718;164.66626	5.37411;149.57649	4.39826;131.52419	5.42108;135.20338	6.90660;143.46875	6.71310;133.35739	2.72821;97.95748	3.14563;75.40043	7.64024;65.69117	8.98937;69.44105	9.60476;72.52215	11.52751;80.27242	11.28642;89.48548	11.05198;91.37165	12.45038;86.63727	12.79618;89.03907	12.53055;92.31779	13.21843;89.62388	14.66227;91.59536	
-23.00000	10.01450;114.17704	10.01515;113.66440	8.86405;110.11192	9.99350;107.94507	11.31795;114.38613	12.83502;124.61667	13.95530;127.32481	12.48955;132.36966	13.13633;121.54974	15.49756;121.62068	14.13751;123.58301	12.20623;123.20671	13.07069;124.62833	17.08452;136.16632	15.43664;148.83208	13.27170;156.89728	13.25442;163.59291	12.62078;172.35637	13.78862;159.98377	13.86332;157.14530	13.73804;153.06877	11.75378;145.89995	9.30491;147.58481	9.72798;156.63154	7.03472;109.98716	5.94270;92.61720	5.82410;112.40510	4.80331;142.82867	4.97051;112.05106	5.30454;119.67457	22.50622;132.80197	24.32511;147.21030	23.00757;154.69066	21.80375;158.41201	20.16692;163.70489	16.95478;168.82791	8.97066;160.12403	1.87751;299.41010	2.79342;308.41385	0.75681;238.84948	3.09798;152.68250	2.95530;103.22822	5.00510;129.56340	5.57116;123.02471	6.41089;97.06597	6.31179;76.39857	6.25152;69.94231	7.61960;63.20616	8.45409;60.35806	13.06063;77.91239	11.57366;90.08248	10.42981;88.23030	10.93366;87.64221	12.27350;89.81851	13.66717;90.01746	13.67166;92.42752	13.87029;87.75111	
-24.00000	7.45611;86.86160	10.35705;103.67893	11.14717;122.50951	10.08984;124.33911	8.62177;117.33919	7.76277;100.39262	8.06128;99.17704	9.37874;108.88934	12.04762;114.20372	11.67363;117.68300	14.18445;115.32190	12.70827;122.77367	11.92655;126.47021	12.15859;133.84698	11.12934;147.33693	11.78812;157.90560	12.50242;161.34814	13.16924;167.92710	15.10530;150.47918	17.09279;150.76186	16.78995;153.33705	13.78385;153.51806	11.43397;148.01217	11.05950;147.54734	11.32629;163.23200	8.63269;88.26320	6.19530;102.71327	5.53581;139.32888	8.06283;191.12030	4.57719;95.20456	14.93967;142.97504	24.13244;151.59359	23.50686;160.36785	22.24657;164.15913	20.52020;170.12187	18.15695;177.99072	16.25441;189.42966	7.65983;191.16308	6.58719;332.79978	6.48482;328.32049	2.86409;348.93030	1.37244;117.59942	3.06561;102.45000	3.93729;105.05441	5.30166;81.87019	5.61311;70.14624	5.38305;58.57142	7.91797;47.28822	11.49071;52.36049	13.65684;70.97705	13.16953;73.26349	11.99048;75.42758	11.86911;180.00000	13.17849;93.49420	13.95680;94.78233	13.75791;91.84766	11.85771;89.62430	
-25.00000	7.49288;105.18994	7.33239;100.49518	7.41962;103.01026	8.33362;123.16001	8.57340;128.88906	10.35416;134.94676	9.54602;133.60564	8.13762;103.71426	11.08339;112.46759	11.32988;113.99243	12.20309;115.69564	12.74263;116.21717	12.06684;126.51732	10.52011;125.02324	11.14741;138.49921	12.22307;152.90520	12.64875;157.36794	14.11147;158.59870	15.85759;149.08683	15.90977;150.34976	15.61202;153.36157	15.50878;155.72543	11.91866;152.60748	10.36062;147.67556	10.89292;148.71536	7.97308;109.80887	6.66195;107.13960	4.95693;173.76849	6.28054;178.58120	9.63843;111.09973	5.78901;133.95244	14.40910;163.05866	24.33036;164.99781	22.54352;167.67268	21.95927;169.56541	20.42014;178.22713	16.48383;191.95791	13.35615;201.29196	5.44950;292.01773	11.73169;340.21399	8.36059;345.44358	4.24546;359.60649	3.35764;40.42140	4.24577;64.77947	5.97579;57.16287	6.20274;59.94777	6.89996;65.07379	11.55021;61.92978	10.19015;60.53032	11.42093;59.83903	12.65027;63.34045	13.05100;76.33631	15.09591;85.88631	14.24839;92.67816	13.79851;91.81638	12.64502;92.86988	11.78027;89.43273	
-26.00000	8.60036;106.14107	9.44283;111.62181	9.09377;118.12076	9.49376;123.23780	11.11015;124.16829	10.87435;132.87033	9.61893;130.54980	10.59404;120.06044	11.22333;108.76131	9.95469;117.92112	11.11260;111.00297	11.30634;113.15332	10.81505;127.66905	10.24738;134.46971	9.55591;129.92495	10.30432;137.43112	12.56918;149.40552	13.66804;157.90353	13.60418;153.05784	12.74773;155.09184	11.62093;157.51873	11.66469;157.64895	10.29464;154.27200	9.21539;155.76509	7.99569;148.60147	9.46905;120.41307	7.53331;119.68070	7.78655;148.73452	6.41109;132.54246	7.71593;114.15008	9.75701;139.03099	6.25617;176.10007	26.75651;165.72954	23.93091;166.48073	24.00001;172.82548	23.96614;182.21957	18.70139;187.74773	12.23287;203.29782	10.44066;228.47188	12.34804;346.58285	12.72709;354.47836	8.72435;0.53349	6.37860;21.16914	6.31121;39.70164	7.52344;52.31588	8.93143;63.16727	12.18861;64.95937	12.25289;71.30923	11.25466;71.26150	13.53951;70.30855	14.35753;78.54402	15.11663;84.99394	14.56952;87.15974	13.94488;88.69326	12.73576;93.58779	11.84168;93.86944	11.70390;88.95318	
-27.00000	8.05289;97.21079	7.33168;91.74113	8.79934;94.93350	10.40096;117.96352	10.23878;123.28881	10.19492;123.88398	10.80831;129.11685	11.71001;119.56085	11.59015;114.39862	12.08108;120.15424	10.08750;120.39949	9.43494;119.29538	8.68965;128.46965	9.70683;130.07735	11.52141;139.61889	9.90474;139.87193	11.89310;136.66230	13.91040;154.94973	13.27377;163.02188	13.07037;157.83307	12.30470;162.46671	9.97456;161.00715	7.87337;151.96080	8.24497;159.34751	11.61924;123.75121	10.39351;116.55067	8.65428;124.45749	7.56202;152.63794	6.68301;143.39675	9.41210;110.68069	7.96390;130.11892	8.24440;172.49998	29.03175;168.98349	26.36180;167.30210	25.76972;174.68075	24.46886;182.02591	22.31550;185.86454	18.01187;200.00529	10.94119;243.35756	10.87330;335.59758	15.67349;358.68032	12.02379;3.50538	9.39844;20.45896	8.46012;34.86584	9.43897;50.00407	12.16082;56.71889	13.64923;61.58816	12.57977;62.28269	12.40287;62.62372	13.89947;63.37045	13.90685;72.87195	13.98204;77.48242	13.66106;81.63008	11.98402;86.55932	11.17365;91.18224	11.42976;95.59133	11.64538;85.21253	
